Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Argentina,ARG,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,5.92,..,..,..,..,6.43,..,..,..,..,6.72,..,..,..,..,7.45,..,..,..,..,7.88,..,..,..,..,8.34,..,..,..,..,8.55,..,..,..,..,9.26,..,..,..,..,9.48,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,9.35,..,..,..,..,10.04,..,..,..,..,10.79,..,..,..,..,11.02,..,..,..,..,11.2,..,..,..,..,11.31,..,..,..,..,11.26,..,..,..,..,11.54,..,..,..,..,11.77,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.16,..,..,..,..,1.18,..,..,..,..,1.97,..,..,..,..,2.4,..,..,..,..,2.84,..,..,..,..,3.29,..,..,..,..,3.69,..,..,..,..,4.19,..,..,..,..,4.91,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,7.22,..,..,..,..,7.47,..,..,..,..,7.08,..,..,..,..,7.35,..,..,..,..,8.22,..,..,..,..,9.13,..,..,..,..,10.1,..,..,..,..,10.84,..,..,..,..,11.59,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,3.27,..,..,..,..,3.65,..,..,..,..,4.47,..,..,..,..,5.36,..,..,..,..,6.41,..,..,..,..,7.11,..,..,..,..,7.44,..,..,..,..,7.69,..,..,..,..,7.77,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,3.09,..,..,..,..,2.82,..,..,..,..,2.93,..,..,..,..,3.59,..,..,..,..,4.04,..,..,..,..,4.84,..,..,..,..,5.78,..,..,..,..,6.75,..,..,..,..,7.66,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.24,..,..,..,..,1.64,..,..,..,..,2.11,..,..,..,..,2.52,..,..,..,..,2.69,..,..,..,..,2.95,..,..,..,..,3.22,..,..,..,..,3.52,..,..,..,..,4.1,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,8.66,..,..,..,..,9.18,..,..,..,..,9.84,..,..,..,..,9.83,..,..,..,..,10.28,..,..,..,..,10.63,..,..,..,..,10.98,..,..,..,..,12.22,..,..,..,..,12.56,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,5.8,..,..,..,..,6,..,..,..,..,6.4,..,..,..,..,7.23,..,..,..,..,8.02,..,..,..,..,8.4,..,..,..,..,8.75,..,..,..,..,9.41,..,..,..,..,9.71,..,..,..,..,..,..,..,..,..,..
Colombia,COL,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,3.38,..,..,..,..,3.86,..,..,..,..,4.26,..,..,..,..,4.79,..,..,..,..,5.46,..,..,..,..,6.09,..,..,..,..,6.5,..,..,..,..,6.69,..,..,..,..,8.45,..,..,..,..,..,..,..,..,..,..
