code,code_numeric,country,fhpolrigaug,lrgdpch,polity4,year,year_numeric,sample
ADO,1,Andorra,,,,1940,15,0
ADO,1,Andorra,,,,1950,16,0
ADO,1,Andorra,,,,1960,17,1
ADO,1,Andorra,0.5,,,1970,18,1
ADO,1,Andorra,,,,1980,19,1
ADO,1,Andorra,,,,1990,20,1
ADO,1,Andorra,1,,,2000,21,1
AFG,2,Afghanistan,,,0.1,1940,15,0
AFG,2,Afghanistan,0.12,,0,1950,16,0
AFG,2,Afghanistan,0.14,,0,1960,17,1
AFG,2,Afghanistan,0.5,,0.15,1970,18,1
AFG,2,Afghanistan,0,,0.15,1980,19,1
AFG,2,Afghanistan,0,,0.1,1990,20,1
AFG,2,Afghanistan,0,,0.15,2000,21,1
AGO,3,Angola,,,,1940,15,0
AGO,3,Angola,,,,1950,16,0
AGO,3,Angola,,7.812518,,1960,17,0
AGO,3,Angola,,8.11033,,1970,18,0
AGO,3,Angola,0,7.563512,0.15,1980,19,0
AGO,3,Angola,0,7.57377,0.15,1990,20,1
AGO,3,Angola,0.1666667,,0.35,2000,21,1
ALB,4,Albania,,,,1940,15,0
ALB,4,Albania,0.24,,0.05,1950,16,0
ALB,4,Albania,0.2,,0.05,1960,17,1
ALB,4,Albania,0,,0.05,1970,18,1
ALB,4,Albania,0,,0.05,1980,19,1
ALB,4,Albania,0,,0.55,1990,20,1
ALB,4,Albania,0.5,8.1156,0.75,2000,21,1
ARE,5,United Arab Emirates,,,,1940,15,0
ARE,5,United Arab Emirates,,,,1950,16,0
ARE,5,United Arab Emirates,,,,1960,17,0
ARE,5,United Arab Emirates,0,,,1970,18,0
ARE,5,United Arab Emirates,0.3333333,,0.1,1980,19,0
ARE,5,United Arab Emirates,0.1666667,,0.1,1990,20,1
ARE,5,United Arab Emirates,0.1666667,,0.1,2000,21,1
ARG,6,Argentina,,,0.75,1940,15,0
ARG,6,Argentina,0.49,8.768732,0.05,1950,16,0
ARG,6,Argentina,0.63,8.905374,0.45,1960,17,1
ARG,6,Argentina,0.1666667,9.13399,0.05,1970,18,1
ARG,6,Argentina,0.1666667,9.271142,0.05,1980,19,1
ARG,6,Argentina,1,8.884429,0.85,1990,20,1
ARG,6,Argentina,1,9.306237,0.9,2000,21,1
ARM,7,Armenia,,,,1940,15,0
ARM,7,Armenia,,,,1950,16,0
ARM,7,Armenia,,,,1960,17,0
ARM,7,Armenia,,,,1970,18,0
ARM,7,Armenia,,,,1980,19,0
ARM,7,Armenia,,,,1990,20,0
ARM,7,Armenia,0.5,7.934454,0.75,2000,21,0
ATG,8,Antigua,,,,1940,15,0
ATG,8,Antigua,,,,1950,16,0
ATG,8,Antigua,,,,1960,17,0
ATG,8,Antigua,,,,1970,18,0
ATG,8,Antigua,,8.995663,,1980,19,0
ATG,8,Antigua,0.6666667,9.47458,,1990,20,0
ATG,8,Antigua,0.5,9.722494,,2000,21,1
AUS,9,Australia,,,1,1940,15,0
AUS,9,Australia,0.99,9.124109,1,1950,16,0
AUS,9,Australia,1,9.277876,1,1960,17,1
AUS,9,Australia,1,9.603759,1,1970,18,1
AUS,9,Australia,1,9.748026,1,1980,19,1
AUS,9,Australia,1,9.906652,1,1990,20,1
AUS,9,Australia,1,10.14875,1,2000,21,1
AUT,10,Austria,,,,1940,15,0
AUT,10,Austria,,8.346102,1,1950,16,0
AUT,10,Austria,0.97,8.900677,1,1960,17,1
AUT,10,Austria,1,9.321485,1,1970,18,1
AUT,10,Austria,1,9.666615,1,1980,19,1
AUT,10,Austria,1,9.894085,1,1990,20,1
AUT,10,Austria,1,10.07224,1,2000,21,1
AZE,11,Azerbaijan,,,,1940,15,0
AZE,11,Azerbaijan,,,,1950,16,0
AZE,11,Azerbaijan,,,,1960,17,0
AZE,11,Azerbaijan,,,,1970,18,0
AZE,11,Azerbaijan,,,,1980,19,0
AZE,11,Azerbaijan,,,,1990,20,0
AZE,11,Azerbaijan,0.1666667,7.936543,0.15,2000,21,0
BAD,12,Baden,,,,1940,15,0
BAD,12,Baden,,,,1950,16,0
BAD,12,Baden,,,,1960,17,0
BAD,12,Baden,,,,1970,18,0
BAD,12,Baden,,,,1980,19,0
BAD,12,Baden,,,,1990,20,0
BAD,12,Baden,,,,2000,21,0
BAV,13,Bavaria,,,,1940,15,0
BAV,13,Bavaria,,,,1950,16,0
BAV,13,Bavaria,,,,1960,17,0
BAV,13,Bavaria,,,,1970,18,0
BAV,13,Bavaria,,,,1980,19,0
BAV,13,Bavaria,,,,1990,20,0
BAV,13,Bavaria,,,,2000,21,0
BDI,14,Burundi,,,,1940,15,0
BDI,14,Burundi,,,,1950,16,0
BDI,14,Burundi,0.31,6.283445,,1960,17,0
BDI,14,Burundi,0,6.743066,0.15,1970,18,0
BDI,14,Burundi,0,6.623969,0.15,1980,19,1
BDI,14,Burundi,0,6.719303,0.15,1990,20,1
BDI,14,Burundi,0.1666667,6.25998,0.45,2000,21,1
BEL,15,Belgium,,,,1940,15,0
BEL,15,Belgium,1,8.716015,1,1950,16,0
BEL,15,Belgium,1,8.95908,1,1960,17,1
BEL,15,Belgium,1,9.404516,1,1970,18,1
BEL,15,Belgium,1,9.700546,1,1980,19,1
BEL,15,Belgium,1,9.897312,1,1990,20,1
BEL,15,Belgium,1,10.07665,1,2000,21,1
BEN,16,Benin,,,,1940,15,0
BEN,16,Benin,,,,1950,16,0
BEN,16,Benin,0.55,6.972244,0.6,1960,17,0
BEN,16,Benin,0,6.997882,0.4,1970,18,1
BEN,16,Benin,0,6.907778,0.15,1980,19,1
BEN,16,Benin,0.1666667,6.90776,,1990,20,1
BEN,16,Benin,0.8333333,7.101663,0.8,2000,21,1
BFA,17,Burkina Faso,,,,1940,15,0
BFA,17,Burkina Faso,,,,1950,16,0
BFA,17,Burkina Faso,0.14,6.626073,0.15,1960,17,0
BFA,17,Burkina Faso,0.6666667,6.50586,0.3,1970,18,1
BFA,17,Burkina Faso,0.1666667,6.639576,0.15,1980,19,1
BFA,17,Burkina Faso,0.1666667,6.739776,0.15,1990,20,1
BFA,17,Burkina Faso,0.5,6.863626,0.35,2000,21,1
BGD,18,Bangladesh,,,,1940,15,0
