code,country,lrgdpmad,madid,polity4,year,noextrapolation,code_numeric,year_numeric,sample
ARG,Argentina,6.569764,2010,0.25,1850,0,6,1,1
ARG,Argentina,7.921375,2010,0.55,1900,0,6,2,1
ARG,Argentina,8.514535,2010,0.05,1950,0,6,3,1
ARG,Argentina,9.052933,2010,0.9,2000,0,6,4,1
AUT,Austria,7.105102,1010,0.2,1850,1,10,1,1
AUT,Austria,7.966173,1010,0.3,1900,1,10,2,1
AUT,Austria,8.217729,1010,1,1950,1,10,3,1
AUT,Austria,9.908332,1010,1,2000,1,10,4,1
BEL,Belgium,7.184531,1015,0.3,1850,1,13,1,1
BEL,Belgium,8.224445,1015,0.8,1900,1,13,2,1
BEL,Belgium,8.605608,1015,1,1950,1,13,3,1
BEL,Belgium,9.939938,1015,1,2000,1,13,4,1
BOL,Bolivia,6.454873,2004,0.35,1850,0,22,1,1
BOL,Bolivia,6.656731,2004,0.6,1900,0,22,2,1
BOL,Bolivia,7.559746,2004,0.25,1950,0,22,3,1
BOL,Bolivia,7.85351,2004,0.95,2000,0,22,4,1
BRA,Brazil,6.470963,1020,0.2,1850,1,23,1,1
BRA,Brazil,6.519791,1020,0.35,1900,1,23,2,1
BRA,Brazil,7.42161,1020,0.75,1950,1,23,3,1
BRA,Brazil,8.622708,1020,0.9,2000,1,23,4,1
CHE,Switzerland,6.994053,1141,1,1850,1,30,1,1
CHE,Switzerland,8.251411,1141,1,1900,1,30,2,1
CHE,Switzerland,9.112033,1141,1,1950,1,30,3,1
CHE,Switzerland,9.999941,1141,1,2000,1,30,4,1
CHL,Chile,6.569764,2010,0.25,1850,0,31,1,1
CHL,Chile,7.575298,2010,0.65,1900,0,31,2,1
CHL,Chile,8.248307,2010,0.6,1950,0,31,3,1
CHL,Chile,9.194263,2010,0.95,2000,0,31,4,1
CHN,China,6.39693,1032,0.2,1850,1,32,1,1
CHN,China,6.301125,1032,0.2,1900,1,32,2,1
CHN,China,6.083879,1032,0.1,1950,1,32,3,1
CHN,China,8.138947,1032,0.15,2000,1,32,4,1
COL,Colombia,6.569764,2010,0.6,1850,0,36,1,1
COL,Colombia,6.88054,2010,0.5,1900,0,36,2,1
COL,Colombia,7.674544,2010,0.25,1950,0,36,3,1
COL,Colombia,8.536171,2010,0.85,2000,0,36,4,1
CRI,Costa Rica,6.454873,2004,0.55,1850,0,39,1,1
CRI,Costa Rica,6.656731,2004,1,1900,0,39,2,1
CRI,Costa Rica,7.582296,2004,1,1950,0,39,3,1
CRI,Costa Rica,8.728059,2004,1,2000,0,39,4,1
DNK,Denmark,7.149597,1042,0.6,1850,1,46,1,1
DNK,Denmark,8.011889,1042,0.35,1900,1,46,2,1
DNK,Denmark,8.845505,1042,1,1950,1,46,3,1
DNK,Denmark,10.0437,1042,1,2000,1,46,4,1
DOM,Dominican Republic,6.454873,2004,0.35,1850,0,47,1,1
DOM,Dominican Republic,6.656731,2004,0.35,1900,0,47,2,1
DOM,Dominican Republic,6.934191,2004,0.05,1950,0,47,3,1
DOM,Dominican Republic,8.206072,2004,0.9,2000,0,47,4,1
ECU,Ecuador,6.454873,2004,0.45,1850,0,49,1,1
ECU,Ecuador,6.656731,2004,0.45,1900,0,49,2,1
ECU,Ecuador,7.529907,2004,0.6,1950,0,49,3,1
ECU,Ecuador,8.039325,2004,0.8,2000,0,49,4,1
ESP,Spain,6.915591,1136,0.4,1850,1,52,1,1
ESP,Spain,7.487888,1136,0.8,1900,1,52,2,1
ESP,Spain,7.691186,1136,0.15,1950,1,52,3,1
ESP,Spain,9.633571,1136,1,2000,1,52,4,1
FRA,France,7.034367,1052,0.8,1850,1,57,1,1
FRA,France,7.964046,1052,0.9,1900,1,57,2,1
FRA,France,8.570035,1052,1,1950,1,57,3,1
FRA,France,9.94311,1052,0.95,2000,1,57,4,1
GBR,United Kingdom,7.441859,1156,0.65,1850,1,59,1,1
GBR,United Kingdom,8.410012,1156,0.85,1900,1,59,2,1
GBR,United Kingdom,8.844967,1156,1,1950,1,59,3,1
GBR,United Kingdom,9.89432,1156,1,2000,1,59,4,1
GRC,Greece,6.463035,1058,0.3,1850,1,66,1,1
GRC,Greece,7.208651,1058,1,1900,1,66,2,1
GRC,Greece,7.557477,1058,0.7,1950,1,66,3,1
GRC,Greece,9.396293,1058,1,2000,1,66,4,1
GTM,Guatemala,6.454873,2004,0.45,1850,0,68,1,1
GTM,Guatemala,6.656731,2004,0.05,1900,0,68,2,1
GTM,Guatemala,7.642473,2004,0.6,1950,0,68,3,1
GTM,Guatemala,8.130245,2004,0.9,2000,0,68,4,1
HND,Honduras,6.454873,2004,0.5,1850,0,70,1,1
HND,Honduras,6.656731,2004,0.75,1900,0,70,2,1
HND,Honduras,7.180341,2004,0.35,1950,0,70,3,1
HND,Honduras,7.579072,2004,0.85,2000,0,70,4,1
HTI,Haiti,6.454873,2004,0.35,1850,0,72,1,1
HTI,Haiti,6.656731,2004,0.35,1900,0,72,2,1
HTI,Haiti,6.957135,2004,0.25,1950,0,72,3,1
HTI,Haiti,6.697642,2004,0.4,2000,0,72,4,1
IRN,Iran,6.376727,3002,0,1850,0,77,1,1
IRN,Iran,6.457736,3002,0,1900,0,77,2,1
IRN,Iran,7.449853,3002,0.45,1950,0,77,3,1
IRN,Iran,8.464199,3002,0.65,2000,0,77,4,1
LBR,Liberia,6.039673,2011,0.7,1850,0,94,1,1
LBR,Liberia,6.398595,2011,0.3,1900,0,94,2,1
LBR,Liberia,6.961068,2011,0.2,1950,0,94,3,1
LBR,Liberia,6.741625,2011,0.5,2000,0,94,4,1
MEX,Mexico,6.632095,1095,0.35,1850,1,107,1,1
MEX,Mexico,7.219526,1095,0.05,1900,1,107,2,1
MEX,Mexico,7.768541,1095,0.2,1950,1,107,3,1
MEX,Mexico,8.884398,1095,0.9,2000,1,107,4,1
NIC,Nicaragua,6.454873,2004,0.25,1850,0,121,1,1
NIC,Nicaragua,6.656731,2004,0.25,1900,0,121,2,1
NIC,Nicaragua,7.387578,2004,0.1,1950,0,121,3,1
NIC,Nicaragua,7.351427,2004,0.9,2000,0,121,4,1
NLD,Netherlands,7.516421,1102,0.35,1850,1,122,1,1
NLD,Netherlands,8.138439,1102,0.4,1900,1,122,2,1
NLD,Netherlands,8.698869,1102,1,1950,1,122,3,1
NLD,Netherlands,9.980022,1102,1,2000,1,122,4,1
NOR,Norway,7.006807,1108,0.15,1850,1,123,1,1
NOR,Norway,7.569012,1108,1,1900,1,123,2,1
NOR,Norway,8.605788,1108,1,1950,1,123,3,1
NOR,Norway,10.10088,1108,1,2000,1,123,4,1
NPL,Nepal,5.984094,2006,0.35,1850,0,124,1,1
NPL,Nepal,6.433823,2006,0.35,1900,0,124,2,1
NPL,Nepal,6.207249,2006,0.25,1950,0,124,3,1
NPL,Nepal,6.9069,2006,0.8,2000,0,124,4,1
OMN,Oman,6.408529,3002,0.2,1850,0,126,1,1
OMN,Oman,6.457736,3002,0.2,1900,0,126,2,1
OMN,Oman,6.434699,3002,0.2,1950,0,126,3,1
OMN,Oman,8.838224,3002,0.05,2000,0,126,4,1
PRT,Portugal,6.827586,1117,0.3,1850,1,134,1,1
PRT,Portugal,7.171798,1117,0.35,1900,1,134,2,1
PRT,Portugal,7.643198,1117,0.05,1950,1,134,3,1
PRT,Portugal,9.548416,1117,1,2000,1,134,4,1
PRY,Paraguay,6.454873,2004,0.05,1850,0,135,1,1
PRY,Paraguay,6.656731,2004,0.3,1900,0,135,2,1
PRY,Paraguay,7.367939,2004,0.25,1950,0,135,3,1
PRY,Paraguay,8.010983,2004,0.85,2000,0,135,4,1
SLV,El Salvador,6.454873,2004,0.45,1850,0,146,1,1
SLV,El Salvador,6.656731,2004,0.45,1900,0,146,2,1
SLV,El Salvador,7.305735,2004,0.2,1950,0,146,3,1
SLV,El Salvador,7.90675,2004,0.85,2000,0,146,4,1
SWE,Sweden,7.088787,1140,0.15,1850,1,152,1,1
SWE,Sweden,7.84814,1140,0.3,1900,1,152,2,1
SWE,Sweden,8.815701,1140,1,1950,1,152,3,1
SWE,Sweden,9.919415,1140,1,2000,1,152,4,1
THA,Thailand,6.470935,2006,0,1850,0,158,1,1
THA,Thailand,6.433823,2006,0,1900,0,158,2,1
THA,Thailand,6.705699,2006,0.35,1950,0,158,3,1
THA,Thailand,8.753962,2006,0.95,2000,0,158,4,1
TUR,Turkey,6.466209,3002,0,1850,0,163,1,1
TUR,Turkey,6.457736,3002,0,1900,0,163,2,1
TUR,Turkey,7.39199,3002,0.85,1950,0,163,3,1
TUR,Turkey,8.79441,3002,0.85,2000,0,163,4,1
URY,Uruguay,6.569764,2010,0.35,1850,0,168,1,1
URY,Uruguay,7.704622,2010,0.35,1900,0,168,2,1
URY,Uruguay,8.446642,2010,0.5,1950,0,168,3,1
URY,Uruguay,8.969434,2010,1,2000,0,168,4,1
