code,country,fhpolrigaug,lrgdpch
AGO,Angola,0.1166667,7.296
ALB,Albania,0.5166667,7.8957
ARG,Argentina,0.85,9.198469
ATG,Antigua,0.55,9.51537
AUS,Australia,1,10.00294
AUT,Austria,1,9.956944
BDI,Burundi,0.0666667,6.589299
BEL,Belgium,1,9.949739
BEN,Benin,0.7666667,6.98385
BFA,Burkina Faso,0.3166667,6.795702
BGD,Bangladesh,0.75,7.272882
BGR,Bulgaria,0.8166667,8.726774
BHR,Bahrain,0.1,9.492596
BHS,Bahamas,0.9666666,9.71278
BLZ,Belize,1,8.714763
BOL,Bolivia,0.8833333,7.855298
BRA,Brazil,0.7666667,8.788467
BRB,Barbados,1,9.559372
BTN,Bhutan,0.0333333,7.58503
BWA,Botswana,0.8833333,8.716813
CAF,Central African Republic,0.5166667,7.004279
CAN,Canada,1,10.04156
CHE,Switzerland,1,10.12815
CHL,Chile,0.8166667,8.993845
CHN,China,0,7.867267
CIV,Cote d'Ivoire,0.1666667,7.591673
CMR,Cameroon,0.0833333,7.585279
COG,"Congo, Rep.",0.3333333,7.541502
COL,Colombia,0.65,8.575219
COM,Comoros,0.4166667,7.483751
CPV,Cape Verde,0.9166667,8.038307
CRI,Costa Rica,1,8.561819
CUB,Cuba,0,8.621726
CYP,Cyprus,1,9.554028
DEU,Germany,1,9.947886
DJI,Djibouti,0.2666667,7.651327
DMA,Dominica,0.9166666,8.775743
DNK,Denmark,1,10.06026
DOM,Dominican Republic,0.7166666,8.235777
DZA,Algeria,0.1833333,8.472205
ECU,Ecuador,0.8166667,8.245193
EGY,"Egypt, Arab Rep.",0.2166667,8.194721
ESP,Spain,1,9.649571
EST,Estonia,0.8518519,8.949297
ETH,Ethiopia -pre 1993,0.125,6.228578
FIN,Finland,1,9.878955
FJI,Fiji,0.4666667,8.53589
FRA,France,1,9.917226
GAB,Gabon,0.3833333,9.073712
GBR,United Kingdom,1,9.875768
GHA,Ghana,0.45,7.11426
GIN,Guinea,0.1666667,7.870646
GMB,"Gambia, The",0.35,7.028945
GNB,Guinea-Bissau,0.4666667,6.536928
GNQ,Equatorial Guinea,0,7.375694
GRC,Greece,1,9.445351
GRD,Grenada,0.9833333,8.523405
GTM,Guatemala,0.6,8.223034
GUY,Guyana,0.7166666,7.906075
HND,Honduras,0.75,7.664063
