"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bermuda","BMU","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","26200000","25900000","38500000","36800000","54700000","53500000","60200000","","","","91580000","35760000","29760000","33557000","36153000","47048000","39126000","41177000","31287000","36487000","29386000","17272000","22760000","40543000","25811000","72397741.48","415156370.4","30815237","50398454","59810058","54530548","84983000","318023435.8","65535077","62929244","310879386.9","311283471.1","179289278.3","789592720.1","711604805","1182851702","801491559","1185617027","1266966985","1313171315","37695103","66998315","1097428205","39245644","141415227","47763008","25471193","44050866","43430064","326395199","33071163","146742614","150684480","",
"Bermuda","BMU","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","3.65009787145266","10.3853233648893","13.358972941895","27.8801982500912","34.4396019800019","34.4665066602276","41.6815487143628","39.7824992698311","55.0336243538615","44.379158757086","37.8304953736331","0.0907023570918278","0.855362700355504","0.001045766490603","0.00294202603960502","","","0.0634054668571372","0.00112860430365036","0.00202621427908419","0.00551814074752136","0.070217056780695","0.00331031494135727","","","","","","","","","","","","","","","","","","","6.32006619145502","","","0.0842569901988187","0.188917459553713","0.158094075130072","0.0631622362102658","",
"Bermuda","BMU","Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)","TM.VAL.MRCH.R5.ZS","","","","","","","","","","","","0.0452572118205133","0.0897345353329733","0.0820817711915167","0.0887822717678255","0.076151227378606","0.0637537785105798","0.0725216462413697","0.076936632582449","0.0990664444470344","0.0831873905429072","0.0712776447386956","0.0517443003653148","0.0584951579008182","0.0419413348323884","0.0726345826331164","0.0419413348310245","0.0035627422295882","0.08334254811138","0.0780086651351776","0.07806112445015","0.0740591358805885","0.0516504672019533","0.0627194683065627","0.0546959322265885","0.0514962449041924","0.0840713630042578","0.0541745050108791","0.0614792631137122","0.032247921450072","0.0685349505982292","0.0885005235061568","0.0454317295062268","0.034407746169974","0.044540429734763","0.0543960285014825","0.145388916631629","0.123854562325246","0.139856216370056","0.119096454263116","0.0517535875268752","0.0638312242997286","0.0835113314840932","0.124647393219357","0.147420180652305","0.0807473740357954","0.144937028978302","0.160143833963531","0.160904662425477","",
"Bermuda","BMU","Import unit value index (2000 = 100)","TM.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","90.96388213","92.11166122","100.9736078","103.7101813","104.5496272","113.7372038","125.8803356","148.6713389","151.3434796","167.614424","180.9059863","184.0158254","154.1219009","153.0392736","149.2213972","140.3917682","142.6028982","143.7074013","",
"Bermuda","BMU","Binding coverage, all products (%)","TM.TAX.MRCH.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7000000","7000000","8000000","6000000","","","","","",
"Bermuda","BMU","Completeness of birth registration, male (%)","SP.REG.BRTH.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Population ages 75-79, male (% of male population)","SP.POP.7579.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Population ages 50-54, male (% of male population)","SP.POP.5054.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
