"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bhutan","BTN","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.66904274063014","17.7227911170336","10.0720966258848","23.8286787427941","4.46332806653602","0.293544010471325","1.52205707110723","3.92394224258939","0.0807276096187129","0.0239899542487129","0.0318498874967274","0.0593440186448867","0.0762329654024681","0.164785313885883","0.198557031373768","0.172464915738123","0.159273419182445","0.219113715673089","0.175433574174551","",
"Bhutan","BTN","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.6116924706221","30.2566998714563","54.8452717816051","34.7324037234756","30.6001181763695","32.7828034769454","35.9864247009542","37.0893801724413","23.0393974719176","21.0609757253855","25.3657033233827","29.9265360160765","33.4638085566776","28.3950227347989",
"Bhutan","BTN","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","50000000","68000000","68000000","72000000","73000000","84000000","93000000","87000000","127000000","90000000","81000000","83000000","125000000","90000000","92000000","112000000","128000000","137000000","134000000","182000000","175000000","191000000","197000000","249000000","411000000","386000000","420000000","526000000","543000000","529000000","854000000","1043000000","991000000","909000000","932000000","1061000000","1002000000","1029000000","1048000000","960000000",
"Bhutan","BTN","Bound rate, simple mean, primary products (%)","TM.TAX.TCOM.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Urban population","SP.URB.TOTL","8029","8678","9380","10143","10980","11905","12926","14056","15294","16643","18104","19685","21399","23248","25257","27440","29814","32377","35143","38093","41225","44512","47972","51657","55676","60081","64992","70390","76069","81695","86988","91748","96010","100080","104512","109795","116177","123588","131934","140905","150226","159844","169836","180114","190590","200882","208478","215879","223217","230698","238507","246710","255173","263846","272652","281528","290470","299472","308509","317538",
"Bhutan","BTN","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Population ages 65 and above, male","SP.POP.65UP.MA.IN","2544","2620","2697","2769","2829","2885","2999","3107","3212","3314","3418","3569","3717","3874","4030","4189","4389","4588","4791","4989","5185","5418","5649","5872","6101","6343","6667","7008","7337","7644","7908","8321","8696","9057","9453","9910","10294","10747","11267","11826","12410","12996","13608","14228","14856","15465","16250","16999","17731","18461","19213","19955","20727","21509","22259","22971","23654","24279","24889","25535",
"Bhutan","BTN","Population ages 35-39, female (% of female population)","SP.POP.3539.FE.5Y","5.6726316077937","5.66849588426041","5.68814672586208","5.7186650520379","5.75323722624729","5.78441579242412","5.78697232317584","5.79402852653027","5.80446138847257","5.82385463253161","5.8508786896434","5.82182937729665","5.80141579492191","5.78585707146427","5.77452991660496","5.76781366613414","5.7325679225737","5.69882556860479","5.67240486668393","5.65990299703544","5.66293210080783","5.64446227531861","5.64711444754287","5.64577154647703","5.60957538281407","5.52548789591554","5.39008802604606","5.21763776639421","5.04173150374876","4.90735630371363","4.84049769370906","4.77948812628372","4.80010151620606","4.88052303716418","4.97570614273751","5.04165579882474","5.06533043396048","5.05315502591979","5.03473478544034","5.05614601852801","5.14284922644261","5.25398101102015","5.39822890021283","5.54669601917638","5.65734100711879","5.71323019489147","5.7799244257414","5.80147201055332","5.7954959139353","5.79301905953893","5.81557929930336","5.92013471984534","6.06181761339041","6.23400403670489","6.42925177267436","6.64123047573626","6.8792158758662","7.12605109039947","7.37987399389711","7.64113477554166",
