"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Curacao","CUW","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)","TM.VAL.MRCH.R6.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.276091584262259","1.28625970441992","2.18810650543667","1.0750916895374","14.3996550657124","0.966140886250892","0.252342772837807","0.209661955326534","",
"Curacao","CUW","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Bound rate, simple mean, all products (%)","TM.TAX.MRCH.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20000000","26000000","49000000","56000000","54000000","79000000","78000000","73000000","73000000","69000000","77000000","68000000","",
"Curacao","CUW","Completeness of birth registration, rural (%)","SP.REG.BRTH.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Population ages 80 and above, female (% of female population)","SP.POP.80UP.FE.5Y","1.37087985848982","1.37173997664461","1.34238496037353","1.28327500265139","1.20436920042437","1.10927786452962","1.10212438468352","1.09608642770265","1.08858117826222","1.08425193566772","1.08455705921873","1.11901926823988","1.15172892950671","1.19705097376001","1.24207326660028","1.28559507666632","1.33811074918567","1.36801944233935","1.37554470520292","1.36628941092768","1.35860604381834","1.42261176253833","1.48616621492451","1.52642948234131","1.54692556634304","1.54152034703574","1.6042159104119","1.65200378341259","1.69740832823503","1.7345271550879","1.77202249105469","1.82275957932283","1.86031887437607","1.90598368917804","1.95443157521938","2.0068126006707","2.13521706037096","2.26881297549465","2.41000441696113","2.54421826049086","2.66900614827178","2.79094640689137","2.90367340977142","3.01512703774416","3.13452074056714","3.2558543182377","3.26555412680693","3.26320544232585","3.27048509334812","3.27450454934089","3.28629182271386","3.38580194513837","3.47606332252527","3.56420032006025","3.65781229984512","3.76707188953925","3.9251200807034","4.08612451104497","4.25024420163104","4.41254711961874",
"Curacao","CUW","Population ages 55-59, female (% of female population)","SP.POP.5559.FE.5Y","3.04499581471011","3.08291163876995","3.12096823739018","3.12713058497341","3.09310700357127","3.04204354615362","3.08565786225623","3.08363740430708","3.02885022138244","2.95389149140244","2.90129296751813","2.9348885040052","3.02896691785581","3.13796474909494","3.2126198836539","3.24006467090852","3.27687296416938","3.29657407165443","3.31154512521657","3.34655265550271","3.40838642449184","3.46243436377275","3.52358879679459","3.58769487026","3.64660194174757","3.70274736624664","3.74317045762777","3.7834125863253","3.83088398005806","3.88732762564538","3.9595265868907","4.06908127671851","4.19619813706096","4.33166210679269","4.46502354499783","4.59586490982546","4.70442132813439","4.81563351821967","4.94423586572438","5.11091442941234","5.32660019115277","5.59345551251662","5.87599503395896","6.15215156410633","6.39500820248418","6.59415363698164","6.62295637920558","6.63865201144312","6.66376191607912","6.72638872937483","6.84168754185372","7.05052023962553","7.24179858859431","7.38844959051116","7.49263430028764","7.58494094829079","7.73216557953985","7.90881202458745","8.07228368278776","8.16513657614417",
"Curacao","CUW","Population ages 15-64, total","SP.POP.1564.TO","67290","67884","69256","70834","72312","73659","74719","75569","76718","78096","79712","81553","82516","83121","85018","86454","88305","89912","90712","91802","93181","94704","96545","98010","99243","100415","100523","99665","98017","96208","94863","94029","93498","93550","93588","93767","94569","95025","93517","90342","86750","84409","84985","87078","88881","91419","93738","95680","96979","97544","98511","99876","100331","100904","101698","102542","103230","103323","102961","101355",
