"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Djibouti","DJI","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9400","10000",
"Djibouti","DJI","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.390593502566463","0.00208441318399318","","","0.114958821163447","","","","","","0.201914364939215","","56.2264313334433","28.1638923656373","41.5180177177347","45.8549716772481","54.2470241612985","52.5241342518843","46.7166036136534","43.2136190726368","28.9304800525409","8.66604173490728","17.2854015445037","13.7757192794141","16.4680193907881","16.6217375143519","19.5941381245474","17.0090750242671","15.7987051397788","15.3606541044708","14.443430939804","",
"Djibouti","DJI","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","","","","","","22.4318756791038","21.0217434608725","20.4246841747435","17.6788201232773","10.8225953668247","17.7253441616775","16.372954747101","19.9547119154663","21.1047793541773","19.0686954915228","19.03371729702","19.4108279266245","22.7124442752488","32.2634267686804","32.437169900735","28.1493386739625","24.3572858141599","25.6732951329303","26.551580452062","9.15497963061613","8.33854531384009","9.59624377860308","11.2513702372267","10.2907091201778","12.4660790691978","14.2543477321514","20.2538868174296","33.2715246411277","27.9657967582525","20.8948372451987","26.3044538022039","26.2670353834215","25.7839207594988","28.5841811982421","28.3310258053983","28.0183799380257","25.9666538381918","28.3999777233817","",
"Djibouti","DJI","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.21","61.71","","","20.67","","","20.97","19.48","","","14.1","","14.24","14.24","","14.41","","","","","",
"Djibouti","DJI","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.49","31.49","","","32.68","","","28.8","30.8","","","20.04","","20.62","20.62","","20.13","","","","","",
"Djibouti","DJI","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Population, female","SP.POP.TOTL.FE.IN","42062","44505","47365","50590","54080","57778","61735","65995","70531","75256","80170","85094","90113","95852","103135","112484","124363","138385","153162","166755","177872","185683","190800","195100","201273","211109","225492","243480","262793","280195","293436","301620","305678","307346","309239","313217","319773","328229","337908","347725","356821","365246","373212","380253","385825","389625","391328","391250","390537","390779","393104","397941","404927","413397","422307","430879","438938","446702","454210","461611",
"Djibouti","DJI","Population ages 65 and above, total","SP.POP.65UP.TO","1936","2045","2182","2343","2525","2724","2907","3108","3336","3579","3845","4072","4313","4613","4994","5489","5945","6523","7165","7818","8447","8914","9290","9662","10112","10703","11460","12367","13357","14342","15274","15914","16408","16816","17218","17668","18362","19117","19923","20751","21583","22438","23281","24126","24974","25856","26901","28013","29231","30599","32129","33559","35054","36575","38043","39440","40772","42074","43416","44872",
"Djibouti","DJI","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","4.39599629110102","4.3767412599982","4.37040790473777","4.37086092715232","4.36768431368923","4.36272389028295","4.34726271460965","4.33188381642146","4.32292183578852","4.31454881273503","4.30574265329541","4.28937410393212","4.27762982689747","4.26799369868444","4.25465898733686","4.22915870235862","4.17165877310776","4.11686491017618","4.07085308366305","4.0437053606232","4.04448142484483","4.04024084186943","4.05505269943763","4.08561807082558","4.1187839402205","4.1415017029279","4.1930720073085","4.23314974762099","4.25739183378363","4.26566163795411","4.26467280546903","4.19468205026192","4.11874010390086","4.0520579144298","4.01244349012734","4.00841591744994","4.0594675564701","4.13677119798188","4.23368421675658","4.34079902451369","4.45409144157526","4.55334457683547","4.65684567031248","4.75737142736922","4.84730044605946","4.92656985488499","5.04926863673069","5.17262531565334","5.30012444371611","5.43121670104254","5.56293277571724","5.62471729406443","5.67312132804184","5.7213629480549","5.79311030707155","5.90255778277529","6.02360231466715","6.18867569727537","6.37655186686364","6.55488399298109",
