"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Dominica","DMA","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0175415317544833","","","","","","0.000134546941498382","","","","","","0.00309967647256403","0.1514365846348","0.121036892209816","","0.0316855851190393","1.07995738906046","0.077084969766466","0.80679168916116","0.516145004751707","2.07334330657038","0.720796119944384","0.202883976423663","2.32223917824573","0.346285929038419","0.26731590104029","2.35427561994067","0.045147490143811","0.403678732960551","1.2056180760651","",
"Dominica","DMA","Export unit value index (2000 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","109.8687325","106.9030517","101.5404467","118.387993","124.0995461","133.6108725","141.0567288","163.699661","166.9938796","170.3546384","187.8093769","185.2832275","176.1872098","171.1392964","159.5927801","163.7492306","162.7336651","166.9245672","",
"Dominica","DMA","Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)","TM.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","0.0152538679450861","0.013993189980876","0.00113939515792564","","2.39555078690043E-05","0.00890646480364001","0.00122811754419122","0.00195682001548158","0.00277382078626738","0.12119717094491","","0.020184903872742","0.0326821975954998","0.0931761053800246","0.0329898342079954","","0.0190480458893329","0.0272049909269697","0.331739361873467","0.407620838543855","0.0815063343237805","0.0722923104231325","0.0726940621503578","0.413586082211877","2.67249487030098","0.345099545474575","0.0662839369448708","0.0610099234493663","0.267918895374364","0.0938740943567451","0.113047800361907","0.0717307135635564","0.406624904009228","0.0634464169756155","0.41705236996058","0.363249324480028","0.296543521749961","",
"Dominica","DMA","Share of tariff lines with specific rates, primary products (%)","TM.TAX.TCOM.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.92793","0","0.0362582","17.56098","46.60993","0","0","0","","","0","0","","","2.344828","0","0","0","","0","0","0","","",
"Dominica","DMA","Share of tariff lines with specific rates, manufactured products (%)","TM.TAX.MANF.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.13044","0","0.2466456","39.89899","72.48239","0.2574476","0","0","","","0.0070656","0.0140548","","","0.2087371","0","0","0","","0","0","0","","",
"Dominica","DMA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Population, male","SP.POP.TOTL.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Population ages 45-49, female (% of female population)","SP.POP.4549.FE.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Population ages 15-64, female","SP.POP.1564.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Women who were first married by age 18 (% of women ages 20-24)","SP.M18.2024.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Birth rate, crude (per 1,000 people)","SP.DYN.CBRT.IN","","","","","","","","","","","25.8","","37","32.7","29.2","25.1","24.7","24","24","21","24.8","22.5","23.3","24.3","20.8","","","23.6","","","23","","24","","21.6","","19.1","21.5","16.2","","","","15.4","","","","14.9","","","","13.1634639803606","","","","12","","","","","",
"Dominica","DMA","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","SL.WAG.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
