"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Croatia","HRV","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.0747185261003","30.6617808721143","25.2554536504482","22.3876194432904","19.2300812266131","17.8627666096609","12.0844920497638","9.19430924747286","6.79303954127642","6.25649397073543","5.71105067985167","4.3460185481292","3.73557961071302","3.8719450122566","3.72134210862044","3.62329740695251","4.11364031053623","3.78956394702576","3.58701166920345","3.64113332799635","3.59084571744312","3.42832561965825","3.27483139020369","3.18548798406509","2.9030739987657","3.11028783050317","3.10229789955332","",
"Croatia","HRV","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.097213389","0.268318997","0.51402859","0.858982368","1.729609312","3.273220279","4.405359119","6.64488254374396","11.5585731811648","17.76","22.75","30.91","33.14","37.98","41.44","44.24","50.58","56.55","57.7899789891444","61.9399731527956","66.7476","68.57","69.8031","72.69726967","67.09619204","75.2946259897258","",
"Croatia","HRV","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","4100","9200","12000","13300","15000","16700","16800","15900","16955","18258","19340","19751","20482","22031","21641","22391","24728","24613","24766","26743","26456","24305","25161","25183","26171","26809","27189","",
"Croatia","HRV","CPIA quality of public administration rating (1=low to 6=high)","IQ.CPA.PADM.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Trademark applications, nonresident, by count","IP.TMK.NRCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16849","17368","19390","20904","21505","16380","15812","15546","14663","10411","4636","3831","3973","3948","4413","",
"Croatia","HRV","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8","20.8","20.8","20.8","20.8","21.5","21.3","21.2","19.3","18.4","20","20.9","20.6","20.5","20.5",
"Croatia","HRV","Cost of business start-up procedures, female (% of GNI per capita)","IC.REG.COST.PC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3","13.7","12.7","11.5","10.1","10.1","8.1","8.4","8.4","7.1","9.1","3.6","3.4","7.4","7.2","6.6","6.2",
"Croatia","HRV","Firms that do not report all sales for tax purposes (% of firms)","IC.FRM.INFM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.19","","","31.37","","","","","","","","","","","","","","",
"Croatia","HRV","Firms experiencing electrical outages (% of firms)","IC.ELC.OUTG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.1","","","","","","32.4","","","","","","10.7",
"Croatia","HRV","Human capital index (HCI), male, lower bound (scale 0-1)","HD.HCI.OVRL.LB.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.683","","",
"Croatia","HRV","Goods and services expense (current LCU)","GC.XPN.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52980000","430030000","5583100000","12710300000","14677340000","13794450000","13383540000","15274810000","14064590000","16624000000","14701000000","7962469000","7631991000","8911899000","9632730000","10572835000","12906025000","14486294000","13357765000","13907428000","14257644000","14233011000","14854326000","15708174000","16074476000","16429346000","16759050000","17274209000","",
"Croatia","HRV","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35700000","348030000","6143330000","16006260000","17887930000","19044660000","20745190000","28239180000","26476040000","29810000000","30388000000","37676669000","40946133000","42995950000","45956133000","50100710000","53791669000","56939302000","51866023000","53638953000","52900286000","55629476000","57930904000","58554464000","61973925000","64733222000","68401995000","72956090000","",
"Croatia","HRV","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Claims on central government, etc. (% GDP)","FS.AST.CGOV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9259423849362","11.3575035313475","4.98870440936309","4.40279166203858","6.04667792352945","6.22597855840688","7.21630284618886","7.7935535066774","6.99391985573992","6.35547529262171","7.88929780966243","6.46518207191835","5.47101316213897","6.88147384666676","7.35536823366014","12.6861397788574","8.78693952488033","16.7660149529211","16.203062114858","17.2642850460097","18.6404903207574","20.4078378216756","16.0927445104878","16.1489953389996","14.1731358503582",
"Croatia","HRV","Net domestic credit (current LCU)","FM.AST.DOMS.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39356957300","43280260200","47976526500","48464861800","56194800000","66937000000","65937900000","72051500000","87634913468.52","112544199896.58","126397161179.38","142559714829.63","169803817832.07","201952764363.53","228059050058.87","256936992200.42","256088844319.53","297654766862.64","295701409555.06","323230784828.23","296797000000","296342000000","296547000000","296665000000","279821000000","287124000000","288800000000",
