"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Hungary","HUN","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.950388597551","57.7758398010109","59.7999535042031","58.1530955242269","53.9920359572708","53.0843034663638","51.5007991343089","51.9384039825266","54.3170699389717","54.4286302695306","53.9719586718359","54.5782950292302","56.3227367511888","55.0193507689282","54.822506698739","53.3226623015287","54.3733448595676","53.6195329709544","53.6341764523931","52.5301905560827","52.7787633377517","53.8328365328119","52.3213829946438","50.152375613442","48.8950215729653","49.8006495315997","49.5233720956551","48.7002483837709","48.3205766491744",
"Hungary","HUN","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8660325527.53061","9973525981.69602","11125479507.0822","10996216663.1628","10617356325.7706","10093824498.0075","10053140117.3087","10187395902.178","10431654281.8806","10009022635.2616","11332246607.6181","14782316832.213","19627460971.9638","22929347981.5611","25045261984.3924","25447107752.2696","29128439467.6565","33840568974.0421","28860531467.3149","28286044731.5585","29236283603.989","25706156779.2688","26761027291.6248","28198998287.4872","24676691756.2403","25671943118.9837","28782097655.7756","31103294330.9874","31187755453.1067",
"Hungary","HUN","Lead time to import, median case (days)","LP.IMP.DURS.MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","","","5","","2","","3","","","","","",
"Hungary","HUN","Air transport, passengers carried","IS.AIR.PSGR","","","","","","","","","","","282300","268200","266300","330000","456500","414100","427200","555000","659000","830200","874300","1017000","1020700","957300","1038500","1116100","1150600","1231400","1176400","1316300","1363100","910700","1029100","1216900","1325400","1310900","1563400","1634700","1749200","1943500","2197521","2023385","2098760","2260849","2546234","2735214","2591666","3133574","3111575","2952885","12477063.1762511","13729553.5346856","12289555.0764284","13926540","16482060","20043787","21399963","26066294","31226848","",
"Hungary","HUN","CPIA property rights and rule-based governance rating (1=low to 6=high)","IQ.CPA.PROP.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","141","201","276","330","326","414","589","523","637","879","1373","1916","1956","2581","2205","3721","2201","2711","3302","4041","4693","4755","4317","4386","4293","3515","3490","3615","3291","3240","3481","3773","2474","3428","3489","3179","3671","3770","3492","",
"Hungary","HUN","Procedures to build a warehouse (number)","IC.WRH.PROC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","16","16","16","16","16","16","16","17","19","21","21","21","22","22",
"Hungary","HUN","Cost of business start-up procedures (% of GNI per capita)","IC.REG.COST.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.4","86.4","79.6","74.2","65.1","10.8","10.2","10.2","9.7","9.4","9.4","54","47.7","45.5","43.8","40.1","36.2",
"Hungary","HUN","Value lost due to electrical outages (% of sales for affected firms)","IC.FRM.OUTG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","","","","1.6","","","","","","0.2",
"Hungary","HUN","Cost to export, border compliance (US$)","IC.EXP.CSBC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","",
"Hungary","HUN","Human capital index (HCI), upper bound (scale 0-1)","HD.HCI.OVRL.UB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.719","","",
"Hungary","HUN","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","13300000000","14200000000","8600000000","12700000000","11100000000","22700000000","24600000000","41000000000","54400000000","62900000000","89900000000","158300000000","158900000000","289300000000","502328000000","643331000000","752915000000","745854000000","788468000000","711302000000","717301000000","688761000000","762016000000","895795000000","906290000000","927048000000","1010327000000","1066215000000","1155964000000","1097468000000","1137276000000","1272930000000","1350645000000","1316810420000","1215763989000","1144251253000","1070150667000","1047416000000","",
"Hungary","HUN","Taxes on goods and services (% value added of industry and services)","GC.TAX.GSRV.VA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6765021794841","15.3234351181565","14.996931257336","15.7952675940456","16.3390912972224","17.0488066712706","15.5483862887933","14.8583297233449","15.7610813600631","16.939145093768","16.1014369724187","15.2557311812924","16.1655642895923","15.8898031886596","16.8349266116552","18.1770941503475","18.2164789245413","19.9223427406968","19.6461756465334","19.6413499036896","19.7900558803495","18.9431760870331","18.6754217573793","18.9568403654043","",
"Hungary","HUN","Net incurrence of liabilities, total (current LCU)","GC.LBL.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","16300000000","17800000000","7600000000","-3100000000","100000000.000001","31200000000","","4400000000","32000000000","-5800000000","205100000000","119000000000","323500000000","254400000000","919869000000","256454000000","229106000000","547215000000","551185000000","104555000000","1021963000000","1355928000000","1253770000000","1679888000000","1178516000000","1932488000000","1104101000000","2216078000000","978947000000","626033000000","2818270000000","461282000000","1104311000000","1608095000000","914123000000","1054592000000","1212198000000","1747742000000","",
"Hungary","HUN","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Monetary Sector credit to private sector (% GDP)","FM.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.6770867527246","32.1455512333648","27.3307782990723","25.5024144946215","21.7067024781876","21.3604584470898","23.5164513003477","23.3768796889882","25.5102063613755","31.8847242380064","32.6429490257506","34.3583054674881","36.4622759767622","38.9698319714449","43.2994359843576","47.2901642638956","53.2578187955669","59.3947973655789","59.92442988701","60.6719701491169","58.6968598614081","50.5412059028152","46.1775655310687","42.7044781142886","35.2990147765125","33.7048727183217","32.8084802195409","32.939730749789","33.9448870036053",
"Hungary","HUN","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.22977053521758","8.23662720561617","10.0371610997272","13.6774946903895","16.042828623319","16.8257283651434","15.6215268130428","11.6631260334093","7.42356209737637","4.16778804339289","2.46529955892284","",
"Hungary","HUN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.74","","","0.72","","0.81","","0.94","","1.3","","1.3","","1.27","","1.67","","1.84","","1.58","","1.18","","","",
"Hungary","HUN","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","EN.CO2.MANF.ZS","","","","","","23.0197535693331","24.0666283744974","24.9856952126645","25.0567322239032","25.4406687261494","25.2942179771448","26.3646922183508","26.481004507405","26.1779316573837","26.2576330328584","24.2627154865365","24.6455834242094","24.0837015856512","22.916421077449","23.4052757793765","23.1271935132518","22.0604429218157","21.807992202729","22.2023961254142","22.1739130434783","21.7124232167482","21.5891670924885","21.0792366991027","21.4448771317309","21.5371968762844","21.3915956151035","18.515600378191","16.5500349895032","15.4610423566324","14.8030383324501","14.7351581940988","14.8910200523104","12.3052122514777","11.435696473103","10.952380952381","10.8087821354851","10.9229929000546","11.1664820967147","10.3909827404015","10.5502088251317","10.8369883040936","10.6351550960118","10.7958872810358","10.7246376811594","8.72626413484105","9.16544040361573","9.44262295081967","8.91417733522997","13.8491867915229","15.5908639523337","","","","","",
"Hungary","HUN","Nitrous oxide emissions in energy sector (% of total)","EN.ATM.NOXE.EG.ZS","","","","","","","","","","","4.72694847324513","4.55585109013232","4.91227391356966","5.01371462425486","5.14342663614923","5.51824235593998","5.38024767101912","5.22877887442692","5.4841553453607","5.29932024409444","5.31708433175844","5.03896536372005","4.76110006950926","4.3024567081781","4.49364247321999","4.61645456189263","4.58266290650473","4.47842793056577","4.43783765205672","4.59325701348627","5.08777629581249","5.71316665358583","6.85342489880987","5.92423357667803","5.09841696978631","5.59538990358235","4.65851625365547","4.67625058660679","4.63906393452736","4.86193398293941","4.15526439173041","4.23151943363496","5.25905908414486","5.29787858896308","4.50421418763116","4.6342201134633","5.05835712370354","5.7277948053092","6.7198413327764","","","","","","","","","","","",
"Hungary","HUN","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","36519.653","39057.217","39577.931","43948.995","48045.034","45885.171","44253.356","39064.551","38536.503","37337.394","46200.533","42251.174","40461.678","40025.305","38587.841","37157.711","37520.744","36802.012","38078.128","37759.099","36677.334","37722.429","38650.18","37025.699","36868.018","36537.988","35507.561","35808.255","32977.331","30916.477","24095.857","23696.154","20546.201","19138.073","18635.694","18213.989","18661.363","18081.977","16739.855","16274.146","15144.71","14051.944","14172.955","14682.668","13355.214","11998.424","12185.441","12405.461","12141.437","10087.917","10846.986","11030.336","10637.967","9339.849","8800.8","9295.845","8870.473","","","",
"Hungary","HUN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","0.044543937414732","0.0583523283732497","0.0467632621128586","0.0495227979565602","0.0493403640231807","0.0423117891334291","0.0433649339882335","0.0483769631151737","0.0408276669629955","0.0316260674705784","0.0611948297048033","0.0579292911561282","0.0495471198368278","0.0415373902311114","0.0444621547069809","0.0339814372870846","0.0512838351562617","0.048551898958364","2.37196273119875","3.46471373753534","5.72020266584108","6.57332774753072","9.36640499362445","11.5934226760323","12.0584226708502","12.8077866006785","13.4534471158965","14.9146099256514","14.4061096561899","15.141265421059","14.5495783567569","14.4097786548044","14.4905359146838","14.6290901731566","14.9025026957209","15.2815190202053","14.8822950335389","14.6932524286616","11.4595050011964","12.3988856346539","13.5777192863048","13.3594284001854","14.8799334002503","15.2410175728741","16.9575636870678","16.8155599461867","17.3452892170315","18.6143384950596","19.0844241245102","19.0489669141643","18.4514634352703","","","","",
