"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Iraq","IRQ","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Iraq","IRQ","CPIA structural policies cluster average (1=low to 6=high)","IQ.CPA.STRC.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Iraq","IRQ","CPIA economic management cluster average (1=low to 6=high)","IQ.CPA.ECON.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Iraq","IRQ","Public private partnerships investment in energy (current US$)","IE.PPN.ENGY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240000000","500000000","480000000","250000000","","","250000000","","","500000000","","","",
"Iraq","IRQ","Start-up procedures to register a business, female (number)","IC.REG.PROC.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","12","12","12","12","12","12","11","11","11","10","10","9","9","9",
"Iraq","IRQ","Cost to import, border compliance (US$)","IC.IMP.CSBC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","644","644","644","644","644","",
"Iraq","IRQ","Firms using banks to finance investment (% of firms)","IC.FRM.BNKS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","","","","","","","","",
"Iraq","IRQ","Ease of doing business index (1=most business-friendly regulations)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172",
"Iraq","IRQ","Expense (current LCU)","GC.XPN.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68471500000000","52624077508822.3","52303098796298.5","","","",
"Iraq","IRQ","Other taxes (current LCU)","GC.TAX.OTHR.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285400301516","78067929138","85193771117","","","",
"Iraq","IRQ","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.69115497076023","-5.64763265883253","-6.73842018573449","","","",
"Iraq","IRQ","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","FX.OWN.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.477484703064","","","14.5700635910034","","","25.8215732574463","","",
"Iraq","IRQ","Broad money growth (annual %)","FM.LBL.BMNY.ZG","","3.2551097653293","8.50439882697947","10.5405405405405","1.83374083129584","18.4453781512605","7.6065474078954","6.02806819252143","10.3313493826064","14.4847020933977","5.13397566636191","7.4051776038531","13.4466865969108","25.6135053527313","42.5274797316492","38.9991107295084","21.8414260186635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.70658378091696","33.8005437245099","37.1052731582911","35.2150693048346","26.703991944018","31.2062745410482","20.6944948754136","4.16942629075962","15.967066704939","3.88416860986254","-9.0995870094509","7.02624979285344","2.64261400614412","2.72857964057294","",
"Iraq","IRQ","Depositors with commercial banks (per 1,000 adults)","FB.CBK.DPTR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Iraq","IRQ","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","","","","97.46","","","","","97.48","","","","","97.51","","","","","92.01","","","","","83.99","","","","","78.79","","","","","","","","","","","","","","","","","","","",
"Iraq","IRQ","Mammal species, threatened","EN.MAM.THRD.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","",
"Iraq","IRQ","PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)","EN.ATM.PM25.MC.T1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Iraq","IRQ","Total greenhouse gas emissions (% change from 1990)","EN.ATM.GHGT.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-29.6950777458373","-20.0523188770922","-3.29447309827006","6.80064694405849","7.42858662029005","-1.69322547194033","3.39199735166289","6.16790585506002","11.0272780325403","24.5688441482444","33.0213393007701","28.8582600921791","7.93503603412717","25.5913217693551","24.7783509655496","29.6756788366542","30.2524581831494","38.0555039310503","38.6088951866423","47.1002001966246","51.6596166431125","55.7375080624803","","","","","","","",
"Iraq","IRQ","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","391.525617086833","404.481159221213","424.850386562259","447.159943076691","521.128511997426","624.513078319445","625.486616589379","690.70181358995","798.736008962289","712.144283375352","684.782318461175","690.57218765356","811.055615762137","836.490602975183","946.278237056275","1000.44280989244","971.936763512736","1146.88994109312","1235.17365278199","1150.65393972701","891.912326694731","1288.23070528542","1627.89177679762","1789.28479672292","1666.75302186107","1617.87652865387","1866.09202216425","1290.69556908002","967.352034447408","1104.9327409604","1199.02235525347","1107.08184957604","988.997367427611","991.917750652717","981.725956089015","908.575245433896","909.175290191252","968.350699678634","1137.03440446024","1261.22050532218","1335.73839799774","1438.17560928405","1488.56176891491","1437.9005421692","","","","","",
"Iraq","IRQ","Electric power transmission and distribution losses (% of output)","EG.ELC.LOSS.ZS","","","","","","","","","","","","5","5","5.00142085819835","5.0064850843061","5.00778989539283","5.00095438060699","4.99685732243872","5.00319081046586","5","4.99868224545375","4.62363602737193","4.99853629976581","4.99845535990114","5.00025695051133","5.00166881228246","4.99842957778077","5.23322967569969","5.11727078891258","5.02933780385583","5","5.76645843344546","4.6798418972332","4.44106463878327","4.11428571428571","3.81938607403423","4.77347624912619","3.88608721447642","5.76829859428018","7.61334473909324","8.58934169278997","6.87110477194506","6.86885391134867","5.88214537755822","6.1216906641895","30","28.2677467995151","40.9332972289918","48.8559965300369","48.6828546516236","35.9000572503476","38.5062055915255","43.0201225607371","39.8565608845983","50.6315665210719","","","","","",
"Iraq","IRQ","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
