"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Italy","ITA","Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)","IQ.WEF.CUST.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.01123595505618","3.87568983474503","3.9929696056","4.1811728197","4","4.1","4.1","4","4.01463694920701","4","4.3","","",
"Italy","ITA","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","9971","","","12080","","7851","","","8000","","","","486","483","439","","1678","","","1172","1396","","","","","","","870","861","903","846","927","871","905","781","","973","1031","900","",
"Italy","ITA","Tax payments (number)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","14","14","14","14","14","14","13","13","13","14","14","14","14","14",
"Italy","ITA","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","25","25","25","25","25","25","25","25","16","16","16","16","16","16","16",
"Italy","ITA","Firms with female participation in ownership (% of firms)","IC.FRM.FEMO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24",
"Italy","ITA","Time to obtain an electrical connection (days)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2",
"Italy","ITA","Human capital index (HCI), lower bound (scale 0-1)","HD.HCI.OVRL.LB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.759","","",
"Italy","ITA","Compensation of employees (current LCU)","GC.XPN.COMP.CN","","","","","","","","","","","","","","2664917599.30175","3212361912.33661","3639471767.88361","4282977064.14911","5556043320.4047","6034798865.86065","7792818150.36126","10300216395.4407","","","","","","23187881855.3198","26671900096.5774","33662660682.6527","36165410815.6404","41703894601.476","45472997051.0311","46942833385.8398","47650379337.5924","47377173637.974","60134807748.0703","66785020516.1917","68617056405.3671","66101833562.5286","67599487661.7422","70965716011.1786","76145847659.9966","79584977431.7809","85572434385.2171","86590812063.6536","90542495946.1642","92848233863.8324","95924149529.3381","96664196104.8523","98852018953.5648","98911684256.3484","97611511598.404","96251562093.0666","96111017484.1477","95763195328.3433","95209576255.7324","97923199604.5554","99436918971.2853","103459567081.724","",
"Italy","ITA","Taxes on exports (current LCU)","GC.TAX.EXPT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Net acquisition of financial assets (current LCU)","GC.AST.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3296027929.9891","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.29134845005391","5.45217615794358","6.58579704248083","11.6470446977379","10.3400713259826","8.15255756876328","7.92064441677219","7.95225254420281","7.74330889097142","6.0940692269112","4.73663574381599","5.13824588590486","4.12890387539513","3.15873855355089","2.60067773160278","2.76222646529531","3.23826980965577","3.42416671160356","3.76243467546476","4.33259382637626","3.02700909877606","3.57968579295654","2.94466372553515","3.61919864683014","3.95121199746377","3.91764782821879","3.16786623371122","2.33532587673561","2.25808863862564","1.76635614266737","1.67412820431279",
"Italy","ITA","Claims on central government (annual growth as % of broad money)","FM.AST.CGOV.ZG.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","3586.90984277542","","","","","3449.8728745475","","","","","3355.93023673835","","","","","3261.5255028687","","","","","3227.60078656543","","","","","3224.27162423134","","","","","3213.19295829379","","","","","3207.92418091413","","","","","3198.44332376832","","","","","3122.95136529444","","","","","3065.18084390626","","3002.18098166877","","","","","",
"Italy","ITA","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","8.24046905665833","8.34166693168887","8.42446072871783","8.49634383061897","8.5618610605294","8.62675846017734","8.69890097174794","8.77730767156844","8.86554353688353","8.96104694270878","9.06219257137533","9.17099665734478","9.18140003799363","9.1401781588738","9.10160120761986","9.06845180915434","9.04447120708349","9.02732963747016","9.01667366016225","9.01216102488388","9.01542616188137","9.02652723061167","9.0884548636772","9.17619561075004","9.26619610059664","9.35621953539298","9.44946111211306","9.54317802847594","9.63428126184404","9.72339847354794","9.81261929775239","9.90409504534428","9.91054226930008","9.87953760211468","9.85263256935618","9.82765487991171","9.80012867143605","9.77030602397565","9.74290990550539","9.71676264331915","9.68790800599327","9.65814487106437","9.67605956174004","9.69069830590314","9.68584261346311","9.69604813604904","9.72493965024439","9.73403297753734","9.72792842713523","9.74192498736863","9.7703817205667","9.81239452020549","9.82747969586636","9.74774587217072","9.69252018049078","9.7359900219728","9.78744025070849","9.8375029723027","9.89126402356548","9.92690231442086",
"Italy","ITA","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-61.7950766086368","-76.2563210462983","-75.4848415216406","-58.6488999073573","-75.4245981568864","-79.9237860397337","-88.1646904653322","-75.0753005129474","-73.0717216996598","-79.4227934492228","-78.8912145918329","-86.9098207463738","-92.8319068653813","-83.6187561259342","-87.971253253514","-90.5423954731105","-96.9645028823389","-73.3102908750153","-92.8278184478109","-94.6709724714804","","","","","","","","","","",
"Italy","ITA","Methane emissions (% change from 1990)","EN.ATM.METH.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.87967613430376","-1.68950362218212","-2.75442728816542","-1.49000269252051","-1.43721232962386","0.737369004636657","0.0968883367219675","-0.732280776887562","-1.5311325334922","-0.798427737625529","-5.34984745917226","-7.47333450645251","-9.6368913472567","-12.9478435454771","-14.8894264507279","-17.5868231862058","-18.5484982307808","-20.7249876504472","-21.041305808848","-20.394888875226","-22.9809925473602","-25.2917170935246","","","","","","","",
"Italy","ITA","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","56.1229964455771","58.251140880318","62.1948471418914","65.1571123375467","69.5877792597532","70.807729468599","72.5875466401944","72.0095731201802","72.8607542843705","73.7301716644937","75.9076641704357","76.9992114956868","77.2603136739084","77.3451730418944","75.8200610135597","73.7340517841648","72.7335349965557","71.7749408009884","71.43011534456","71.4365482713911","69.6463756092502","68.5139736339209","66.8514973267337","68.0024354355878","63.4097686990694","62.3007035730474","64.2710616112795","63.4017662575983","63.5435678401415","61.7899739933638","60.5258766806889","60.4470704257031","61.7068215310295","62.7734107236649","62.5736995130206","61.5602160246691","61.3054897739505","60.8143447335917","59.1872099707576","56.8984684819221","55.6702205583137","54.7621955688008","54.7404154648864","52.2392734105857","50.046033747766","48.3635828433765","47.6873554597162","46.6914474570629","45.7748731026905","47.0319134365155","44.0570637670409","43.9862163008827","41.730931467421","43.7277660376557","44.9374549366538","","","","","",
"Italy","ITA","Renewable energy consumption (% of total final energy consumption)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.78146348144952","4.66941317046864","4.83946324160706","4.77149529502877","5.2480221051995","4.46227833744118","4.74891389547652","4.83141976728715","4.75762543217441","5.02245978426758","5.11951479788946","5.38256684916779","5.59666992531442","6.24058670916462","5.93594854215673","6.70263907861876","7.51256404147516","8.73172974748555","10.8233492990728","12.5397527301242","12.7940929982975","11.9049402680297","14.3916489650323","16.3208850422585","17.0903588438944","16.5168505774397","","","","",
"Italy","ITA","Multilateral debt service (% of public and publicly guaranteed debt service)","DT.TDS.MLAT.PG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Net official flows from UN agencies, UNICEF (current US$)","DT.NFL.UNCF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Short-term debt (% of total external debt)","DT.DOD.DSTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Net bilateral aid flows from DAC donors, Total (current US$)","DC.DAC.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Net bilateral aid flows from DAC donors, Greece (current US$)","DC.DAC.GRCL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","1637000000","1256000000","866000000","1968000000","3460700000","8573800000","10850100000","2787300000","3871700000","4045400000","13714280000","38351200000","32379400000","31604400000","42033300000","42170000000","23433200000","27632100000","65943300000","119347400000","87085100000","102544800000","203132300000","485934800000","535981000000","989553600000","599668800000","576460100000","732470860000","900204160000","1054772710000","1208950290000","2213561990000","1384425960000","","","","","","","","","","","",
"Italy","ITA","Service exports (BoP, current US$)","BX.GSR.NFSV.CD","","","","","","","","","","","3851199996.1488","4217406081.23648","4984491118.65119","5746581686.66537","6150217098.99862","7375444931.64894","7298269760.018","9673905841.94045","12148412234.5361","15587324557.8102","17709100691.4418","15411843640.7958","16204356557.8968","16908072931.1586","17034127902.192","18633636514.3472","22656258841.9585","28049040446.9421","28159769568.6623","29576771000.4334","46233057807.0143","42782874884.1827","53921887170.4673","48923547569.2104","51013773221.4024","56927495967.2302","60815855620.3175","61975544889.8895","63789541976.0467","60616605453.8462","59214764349.9942","60236914550.726","63039521109.7337","74372421963.7506","87509941304.4013","92015863394.1274","102473966999.423","116676594143.109","116251584575.907","97271953906.8071","100964792258.009","111499352965.043","109228214877.572","112288949814.427","114301500013.768","98203794969.9931","100843856622.153","112710019227.026","123112814285.128","121726302520.347",
