"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"St. Kitts and Nevis","KNA","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0192316938314342","0.00630144885261712","0.00303593636414655","","0.000857403001906201","2.02157475113783E-05","0.366589876205674","0.00148879585476829","0.000168556416399826","0.000219017436139472","0.0897236164207181","0.125826061970446","0.0950118251043416","0.0440445972104278","0.0308236880543483","0.175301319573472","0.0809275256232014","2.00144924188834","0.00058485219480074","",
"St. Kitts and Nevis","KNA","Export unit value index (2000 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100.8539743","95.64229295","95.45680331","95.63072882","99.00124971","100.6099576","104.3370537","106.3864538","104.7121876","104.6068893","107.664961","108.9745963","102.3539303","100.8049301","97.32923001","95.03468218","94.3528509","94.84124111","",
"St. Kitts and Nevis","KNA","Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)","TM.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0470902065263","","0.000414730737516455","4.59492530185049","5.03944588266725","0.0618335382009818","0.0324422975547766","0.021930018829812","0.229390047608259","0.0362772884688453","0.122046882563326","0.0768855235421332","0.0295620182304601","0.0309743949738874","0.0774512115743068","0.220400137303539","0.0727402581340607","0.142259900104351","0.137993299722737","0.305804593121182","0.636057279965713","0.220823950038781","0.106874914636852","0.152181281384583","0.232647343217855","",
"St. Kitts and Nevis","KNA","Share of tariff lines with specific rates, primary products (%)","TM.TAX.TCOM.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2027","","","19.7422","3.75","0.352399","0.3287671","0.367165","","","0.506937","0.5709625","0.5762815","0","0.3644519","0.38305","3.227326","3.227326","0","0","0","0","0","",
"St. Kitts and Nevis","KNA","Share of tariff lines with specific rates, manufactured products (%)","TM.TAX.MANF.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.14951","","","38.56359","0.0887383","0.0555379","0.2884032","0.0388169","","","0.0519635","0.0598623","0.0300729","0.0078864","0.0153022","0.0223547","0.0148976","0.0148976","0","0","0","0","0","",
"St. Kitts and Nevis","KNA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Population, male","SP.POP.TOTL.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Population ages 45-49, female (% of female population)","SP.POP.4549.FE.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
