"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Lao PDR","LAO","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38000","","50000","","9900","790","12000","660","190","19000","103000",
"Lao PDR","LAO","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","","","","","","","0.0375502234242049","","0.0798722044864013","","","0.0129020044167002","0.00179010761641513","0.455159005213846","0.615448034890443","","","","","","","","0.00455551537332478","0.0444185696224383","0.277221156282023","0.322827319254492","0.13410312849969","0.0928416615465569","0.123326830197318","0.0885353326994703","0.0556375575449855","0.0849786145385533","0.0813381634382851","0.0878651458234065","0.06336051412022","0.119998445978343","0.10121114268009","0.0821515789744613","0.047625291442401","0.0409082736259012","0.0807522813662552","0.0918359576656615","0.610461085919525","",
"Lao PDR","LAO","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","4.0943686002074","3.79714166576044","3.61690474155854","5.90886704453365","15.7176962041744","21.3482107022681","21.5891905833719","21.5891905833719","","",
"Lao PDR","LAO","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","0.638977635782748","0.602409638554217","1.63934426229508","","0.4149377593361","1.04166666666667","","","","","5.00164347540265","0.508169616806069","0.721822436095537","1.38221047215174","1.29352926648555","","","","","","","0.144894379623275","0.231280716970223","1.29352926665481","0.212527963534852","0.208024196147439","0.340905669436571","1.28937925386896","0.176722354541959","5.75598238443292","0.494279358660777","0.989242372512596","0.190469704685984","0.810372771474878","0.585002659102996","0.611413043478261","0.551044083526682","0.0685417737631882","2.41905205212826","0.966324409185327","1.30145156571865","1.53404004850622","1.52249159373893","0.63598120362673","1.4507579225767","1.6604089052197","0.709905302010378","0.356904654981611","1.10888465451018","1.81239310882592","0.581354035291511","0.836019042392527","0.951430569891925","1.4107230479038","1.57154393036154","1.09173545124894","0.824114178021831","0.663945177454261","3.04881616763732","",
"Lao PDR","LAO","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.98","16.25","","","14.69","11.69","10.7","8.72","16.03","","","","","","4.79","3.83","2.44","2.38","1.89","",
"Lao PDR","LAO","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.6","8.87","","","7.85","6.26","5.61","5.17","8.43","","","","","","3.89","2.62","1.96","1.88","1.72","",
"Lao PDR","LAO","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.5","","","","","27.3","","","","","","","19.9","","","","","14.3","","",
"Lao PDR","LAO","Population, female","SP.POP.TOTL.FE.IN","1078624","1103566","1129104","1155302","1182213","1209897","1238089","1266777","1296508","1328005","1361663","1398186","1437030","1475754","1511025","1540697","1563687","1581346","1597016","1615390","1639913","1671666","1709750","1753218","1800373","1849894","1901470","1955357","2011321","2069172","2128614","2189586","2251565","2313275","2373122","2429977","2483292","2533378","2581031","2627510","2673777","2719910","2765742","2811705","2858278","2905737","2954577","3004653","3054818","3103529","3149735","3192856","3233530","3273474","3315121","3360149","3409177","3461501","3515879","3570428",
"Lao PDR","LAO","Population ages 65 and above, total","SP.POP.65UP.TO","55335","57930","60386","62753","65124","67542","70568","73574","76525","79371","82103","85518","88802","91860","94597","96935","100732","104104","107230","110340","113648","117069","120608","124219","127793","131258","135462","139428","143179","146766","150207","154950","159460","163633","167371","170663","175211","179424","183302","186840","190079","194915","199255","203211","206867","210274","214560","218531","222323","226094","229964","234993","240174","245663","251710","258613","267821","277534","287767","298535",
"Lao PDR","LAO","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","5.08705096600196","5.05172332551624","5.01654853454468","4.98189652411532","4.94919274276294","4.91869942218031","4.87920910434621","4.84645728030338","4.81440859418868","4.7751827543727","4.72539481105471","4.65839642107446","4.58598318338296","4.51511260337929","4.45611717616663","4.41552541052768","4.39725238076053","4.3812099075217","4.35882488120009","4.3146183712684","4.23546084067721","4.16167412133695","4.08065267983467","4.00080537433365","3.93396475839438","3.88509797074311","3.85154035844843","3.83766238083378","3.8385163205928","3.84738436437377","3.86030534422869","3.87096184893484","3.88770107152279","3.90943406666563","3.93617173693006","3.96798484263618","4.00456813524322","4.04673767079002","4.09313336148747","4.1414177550879","4.1887546385676","4.2612056056246","4.33583308355115","4.41056227449181","4.48165728046271","4.5446661362216","4.60982922095812","4.66942283537472","4.72845726249933","4.79499459969428","4.87393074405895","4.96396014349544","5.07219977683818","5.18861771580215","5.2993492852756","5.39738291211664","5.47378282976131","5.53907425655764","5.60096704234366","5.671841022981",
