"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Lithuania","LTU","Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)","IQ.WEF.CUST.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.275","4.50024357777778","4.8029018156","4.786682046","4.5","4.5","4.6","4.6","4.49395172451482","4.5","4.6","","",
"Lithuania","LTU","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117","1036","180","27","78","77","71","71","61","55","46","49","44","47","34","20","18","16","6","15","15","20","42","18","58","46","24","",
"Lithuania","LTU","Tax payments (number)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","12","12","12","11","11","11","11","11","11","11","11","10","10",
"Lithuania","LTU","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4","4","4","4","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5",
"Lithuania","LTU","Firms with female participation in ownership (% of firms)","IC.FRM.FEMO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3","26.1","","","","38.7","","","","35.7","","","","","","43.1",
"Lithuania","LTU","Time to obtain an electrical connection (days)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5","","22.2","37.5","","","","63","","","","46","","","","","","41.8",
"Lithuania","LTU","Human capital index (HCI), lower bound (scale 0-1)","HD.HCI.OVRL.LB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.698","","",
"Lithuania","LTU","Compensation of employees (current LCU)","GC.XPN.COMP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2159986.09823911","","78863531.047266","176639249.304912","422660000","577079000","883628000","1118963000","908240000","855701000","887188000","938447000","989601000","1101850347.91113","1222858127.93867","1423696905.06509","1545213546.82365","1873976282.70948","1758468978.70393","1570874905.50769","1648180147.06167","1722276000.76921","1818097014.20328","1907452109.58449","1965084198.32712","2066125253.50123","2174549730.97061","2377441549.14069","",
"Lithuania","LTU","Taxes on exports (current LCU)","GC.TAX.EXPT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4083642.2613531","4170528.26691381","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Net acquisition of financial assets (current LCU)","GC.AST.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285159870.250232","146055375.347544","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Claims on central government (annual growth as % of broad money)","FM.AST.CGOV.ZG.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4178.2496431191","","","","","4324.30980966604","","","","","4490.18273533452","","","","","4784.46096207897","","","","","5174.42255485942","","5272.19137304437","","","","","",
"Lithuania","LTU","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","22.7734728424248","22.7212223537736","22.725759400689","22.777000991757","22.8362926247765","22.9081397021525","22.9909842718319","23.0889249900541","23.2153686172333","23.3987385799442","23.5670263575497","23.529160035674","23.4431800150294","23.4019457067306","23.3867439141781","23.4005520729933","23.435465336929","23.4906042505191","23.5747113770281","23.6457755862955","23.6592467541675","23.649270445924","23.6153379370384","23.5636193097565","23.5127893870533","23.4607209473821","23.3900219775553","23.3076829413742","23.2262230711268","23.0890444379528","22.9086354742288","22.7749963816529","22.7048627037811","22.7185012819129","22.7817243384233","22.8627498678251","22.9417921149322","23.0159202790848","23.0874031305551","23.1556574847187","23.2225591769299","23.3294742140076","23.4699141609078","23.6134785239278","23.8318112041445","24.1452108364759","24.4248071611136","24.6068957590762","24.7507779637812","24.9448479676996","25.4196424641852","25.9739019512181","26.3551654490438","26.654344404862","26.9161873371639","27.2026568750893","27.5775121984544","27.9873273548472","28.2721079968102","28.4272503679245",
"Lithuania","LTU","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.33058353328137","-4.67069375105002","-4.67766634450197","-4.70186753992432","-4.70154527017466","-4.71359112720186","-4.72538660071033","-4.74464259231181","-4.13324143352471","-4.128580788237","-4.12179755601301","-4.31624924573741","-4.51997607809747","-3.67176243613247","-3.79766386237409","-3.27018329663761","-3.43203098781191","-3.96030258594841","-3.95824382007129","-3.74993190201418","","","","","","","","","","",
"Lithuania","LTU","Methane emissions (% change from 1990)","EN.ATM.METH.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.74427579820503","-9.38325811556132","-21.8393737742309","-28.7769471888372","-32.1786495527053","-33.1413756499618","-32.8444945457798","-32.1095921403457","-33.9212640268758","-34.2319566135297","-36.1224197191139","-32.8489668353421","-34.2711549161643","-33.5262556281791","-33.6660804459662","-32.9628786812534","-32.9686663500987","-32.1357681880782","-33.1789954974567","-33.543092483002","-34.983522809599","-36.7881027369124","","","","","","","",
"Lithuania","LTU","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.4503311258278","67.4282121148606","67.2581326573722","62.683865127857","59.95337995338","62.6583791537174","68.6438759338918","62.8816282806642","55.1703346397347","57.1713147410359","55.6361607142857","50.1000857878181","51.3289036544851","50.6990240042205","49.1582491582492","46.2282398452611","51.2826777424872","52.5776215582894","48.5978763953172","44.6010638297872","45.8907741251326","48.4189149985495","52.8991716652385","54.792600896861","58.1329561527581","","","",
"Lithuania","LTU","Renewable energy consumption (% of total final energy consumption)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0967785138163","2.88754950331016","4.60923818865137","8.89099335562529","9.82336724476734","10.3412667310781","11.473514207011","11.6195137056217","12.9265928786273","14.9732739093942","17.1855643869942","17.5894186276376","17.8896261630838","18.0656440779201","18.0668032781825","17.5096091951111","17.4624281846828","17.0621308375779","18.3338324622482","20.0864826899959","21.4576523593236","22.738272612436","23.9225824954477","26.3425134741084","27.7050524829416","28.9611792543763","","","","",
"Lithuania","LTU","Multilateral debt service (% of public and publicly guaranteed debt service)","DT.TDS.MLAT.PG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Net official flows from UN agencies, UNICEF (current US$)","DT.NFL.UNCF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
