"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Madagascar","MDG","Source data assessment of statistical capacity (scale 0 - 100)","IQ.SCI.SRCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","60","60","60","60","60","60","60","60","50","50","40","50","30","20","50",
"Madagascar","MDG","CPIA building human resources rating (1=low to 6=high)","IQ.CPA.HRES.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.5","3.5","3.5","3.5","3","3","3","3.5","3.5","3.5","3.5","3.5","",
"Madagascar","MDG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.23","60.8","41.2","65.2","48.16","56.73","61.62","106.01","81.92","86.6","81.22","99.46","94.61","115.63","121.32","121.86","108.2","138.99","127.41","",
"Madagascar","MDG","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","2.7","2.7","2.7","2.1","2.1","2.1","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5",
"Madagascar","MDG","Time required to enforce a contract (days)","IC.LGL.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","871","871","871","871","871","871","871","871","871","871","871","871","871","871","871","871","811",
"Madagascar","MDG","Firms with female top manager (% of firms)","IC.FRM.FEMM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2","","","","","","",
"Madagascar","MDG","Average time to clear exports through customs (days)","IC.CUS.DURS.EX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2","","","","8.6","","","","","","",
"Madagascar","MDG","Human capital index (HCI), female (scale 0-1)","HD.HCI.OVRL.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.391","","",
"Madagascar","MDG","Taxes on income, profits and capital gains (% of total taxes)","GC.TAX.YPKG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.660985720866","19.0419518000595","14.8936170212766","19.6771130104463","21.461122187411","14.971448965025","","","","","","","","10.9223474118064","11.6063767381441","15.2563976860477","18.6072335025381","12.7067046883363","25.4647374472978","29.4816184222848","27.5329284488882","26.1906339332818","24.1003163862103","23.5918663538703","23.9504232467618","23.7849217006755","25.3653711370696","23.8768132698479","24.8966569230391","",
"Madagascar","MDG","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.92646785646518","5.922756255461","7.27264949964684","7.14995716422084","6.9280836544385","7.01627950070589","","","","","","","","9.18624253470352","10.4135570946462","9.42037056604443","10.0506909744196","10.2421871070513","11.6807129710875","8.77020362093436","9.82722775804983","8.87155761119311","8.83415687342226","9.05238664750963","8.80186646616315","9.20452203708978","9.66268901783011","10.4081926910419","11.3664323033402","",
"Madagascar","MDG","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22032","0.11044","0.096","0.11976","0.21821","0.24552","0.33841","0.22353","0.17552","0.16371","0.14037","0.13404","0.14683","0.11324","0.10588","","","0.0155","","0.01504","0.01465","","",
"Madagascar","MDG","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","5.3","4.975","4.5","5.65","8.7777777777778","17.1291666666667","16.0625","15.9233333333333","18.75","16.1675","11.7925","12.225","13.25","12.485","11.965","9.5","8.35","23.775","30.75","33.2316666666667","35.7083333333333","41.85","45.725","48.8341666666667","49.0458333333333","42.05","45","45","42.6395833333333","36",
"Madagascar","MDG","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","48000000","42800000","51080000","49882000","51482000","42882000","30582000","19382000","37122000","46345062.7131481","52241642.7066301","67901725.093916","49408139.4781921","35577005.9247934","42161006.613332","68920781.313251","59221295.5148927","5039519.96422063","9100000","26521651.8852826","19959209.2954003","29225634.7171917","58899720.6417429","48443936.7311072","114524463.934045","185199306.274738","223721112.621281","245265708.203012","92084945.4410949","88857217.2395543","84427500.1031254","80642850.0808044","71640029.0217707","108960783.853207","240880919.486017","281600527.28725","171378012.996065","227186728.905518","285182984.805489","398349960.538685","363272345.666928","414272747.15771","503524275.988023","481286830.746363","583182459.275841","846677005.492943","982306552.811993","982078789.679611","1022970696.36859","1134559589.73412","1052810915.82789","776146662.956508","773817323.366607","832008813.363757","1183690792.01019","1600175022.31326","1739588290.28962","1693147648.47775",
"Madagascar","MDG","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","","337","","","","","337","","","","","337","","","","","337","","","","","337","","","","","337","","","","","337","","","","","337","","","","","337","","","","","337","","","","","337","","337","","","","","",
"Madagascar","MDG","Population in largest city","EN.URB.LCTY","252097","260657","269521","278685","288175","297960","308408","321149","334435","348232","362619","377600","395320","413819","433211","453637","476519","500489","525699","552179","580033","609209","639896","672128","706033","741546","778899","818134","859403","902631","948098","995856","1046090","1098709","1134427","1169444","1205593","1242754","1281115","1320660","1361482","1403449","1441214","1479995","1519875","1560716","1643372","1730644","1822681","1919339","2021267","2128608","2241809","2360694","2486060","2618084","2757316","2903952","3058387","3210386",
"Madagascar","MDG","Disaster risk reduction progress score (1-5 scale; 5=best)","EN.CLC.DRSK.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.75","","","","","","","","",
"Madagascar","MDG","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","15194.1","12546.4","12994","13479.3","13276.2","13935.2","13564.8","14581.7","15271.2","16355.4","15976.2","15578.4","16066","16048.5","15220.2","15261","15284.2","16094","15069.3","15640.3","17045.9","16290.7","18576","16406","16801.1","17089.7","16644.7","16552.1","19526.7","19053.2","17889.6","17378","15615.8","17107.7","16280.4","19215","16887.4","17821.1","18737.6","19214.9","19676.2","19872.962","20069.724","","","","","","","",
"Madagascar","MDG","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","352.032","344.698","374.034","399.703","425.372","498.712","513.38","770.07","825.075","762.736","880.08","931.418","1199.109","1008.425","1122.102","1613.48","898.415","777.404","953.42","1026.76","1518.138","935.085","920.417","557.384","832.409","1026.76","1074.431","1232.112","1217.444","865.412","872.746","953.42","924.084","946.086","1199.109","1246.78","1294.451","1576.81","1661.151","1778.495","1818.832","1686.82","1195.442","1576.81","1697.821","1624.481","1569.476","1650.15","1774.828","1664.818","1771.161","1895.839","1954.511","1928.842","2159.863","2471.558","2731.915","","","",
"Madagascar","MDG","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Multilateral debt service (TDS, current US$)","DT.TDS.MLAT.CD","","","","","","","","","","","4319873.9","4637402.4","4195222.8","4855080.2","5131215.6","5533035.8","2377521.4","6970702.1","3445852","3765157.8","4365748.5","4794679.3","5263562.6","7305600.5","9846405.4","10210615.9","14730200.9","24658679.4","32394838.1","33552093.7","36697056.9","38028184.8","37785918","41644240.1","36975867.4","29527495.4","50849260.3","106988312.1","55094238.3","52746447.9","53970471.4","32838253.9","32394754.2","37293300.3","52013765.5","44051201.1","34722827.7","16225165.9","16956399","27571653.9","24714275.1","24812295.5","36620456.8","32846145.9","43145691.6","43122213.3","47294465.7","52225260.2","58755585.3","",
"Madagascar","MDG","Net official aid received (constant 2015 US$)","DT.ODA.OATL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Net official flows from UN agencies, UNAIDS (current US$)","DT.NFL.UNAI.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","349999.994039536","209999.993443489","589999.973773956","529999.971389771","600000.023841858","560000.002384186","569999.992847443","619147.777557373","686122.894287109","561984.956264496","624374.985694885","536204.695701599","277500.003576279","31454.4998109341","",
