"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Mongolia","MNG","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22000","","","","","","810","","","5900","13",
"Mongolia","MNG","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","","","","","","","0.0215600879630503","0.0281436451667873","","","","0.0137802591791468","0.01527111156047","0.0151125195181607","0.407492552119582","0.0165475217268882","","","","","","","","0.385162856903626","0.125040221713311","0.18252628004424","0.109448365698797","0.0389866533844232","0.0529770120864934","0.0640434479860889","0.00802374700132604","0.0375070303148224","0.0308329000557134","0.0660134749477849","0.0585153067911758","0.0404766447111143","0.0371917068344941","0.0404581707389206","0.000181845537432785","0.000638250543077343","0.00151921444314188","0.00552816982177344","0.00482280928600977","",
"Mongolia","MNG","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.59890291218638","4.59890291218638","4.59890291218638","4.59890291218638","4.59890291218638","4.59890291218638","4.59890291218638","4.66712220713262","4.62509451590818","6.29935095719607","1.88118863399205","2.5960203610034","1.49069456904652","3.01475118641822","2.07742183788542","3.09044674092513","2.47280815498837","1.90909472882918","1.90909472882918","1.90909472882918","1.90909472882918","3.74210995358465","3.74210995358465","3.74210995358465","2.96536625441874","0.307488677814936","5.57639408116266","1.16938064753544","","",
"Mongolia","MNG","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","","","","","","22.3840551935608","22.6888217522659","31.9399785637728","22.6797116115519","27.6119955688537","16.9973383403188","8.1369230207395","7.70604243325351","7.10360072321474","4.18128631414416","1.445489729348","52.0918001434377","59.0116355768977","57.9721362229102","51.2243866027787","38.1381115004213","37.7375816853885","33.345255126371","31.5670404680644","37.130572363674","41.3299164143458","40.3223603247604","36.2256275490818","38.9634982105958","41.0578858588989","44.6360261203781","40.887976091011","42.3417511115339","25.2839344067594","26.0410427981671","27.7796095599917","25.9958679740062","30.4323688701946","33.8454749788786","31.2813761743901","30.9268001643153","32.9743254553019","33.4485374910597","",
"Mongolia","MNG","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","5.1","7.06","7.04","5.05","5.04","5.04","5.01","5.17","5.17","5.17","5.16","5.17","","5.16","","5.12","","6.31","6.36","",
"Mongolia","MNG","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4.85","6.79","6.8","4.86","4.88","4.09","4.08","4.88","4.88","4.88","4.91","4.91","","4.91","","4.91","","4.88","4.86","",
"Mongolia","MNG","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.9","","","","","4.6","","","","","14.4","","22.3","","","16","","","","","22.8","",
"Mongolia","MNG","Population, female","SP.POP.TOTL.FE.IN","485662","499187","513904","529555","545749","562194","578779","595571","612715","630469","648969","668273","688275","708791","729548","750363","771175","792057","813115","834530","856418","878570","900906","923872","948060","973731","1001258","1030106","1058564","1084364","1105890","1122550","1134952","1144196","1151966","1159564","1167313","1175103","1183267","1192087","1201815","1212720","1224999","1238624","1253480","1269506","1286646","1305022","1324954","1346850","1370939","1397300","1425660","1455451","1485883","1516361","1546659","1576723","1606330","1635235",
"Mongolia","MNG","Population ages 65 and above, total","SP.POP.65UP.TO","46127","48193","50059","51716","53201","54520","55858","57104","58347","59702","61220","63698","66199","68554","70537","72034","73218","73977","74528","75135","75944","77531","79152","80729","82149","83339","85153","86726","88074","89206","90139","90466","90348","89772","88735","87324","88320","88862","89027","88890","88485","89976","91283","92420","93362","94107","96339","98460","100411","102097","103485","105863","108072","110307","112840","115870","119835","124359","129457","135113",
"Mongolia","MNG","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","5.68867145595645","5.61450672991592","5.42920300599721","5.19094261807511","4.98139261311477","4.84122861940405","4.71837312968658","4.65757058807726","4.63298597227096","4.60911576796919","4.56803592175861","4.52302890003876","4.4637551450942","4.39945710448199","4.34530516238866","4.30673276827123","4.25972247616306","4.23063520761158","4.20825047317914","4.17876430896949","4.13431291729039","4.07912858394892","4.01839925586021","3.95282458265277","3.88245879212159","3.80904455524347","3.72230988953918","3.63184514275174","3.56134412660206","3.54411492113789","3.59720296920029","3.65578045006418","3.79038056234977","3.9724663761","4.16072030028716","4.3362924966496","4.5093226763984","4.68025066632173","4.88257530620679","5.14542118918973","5.46831706070989","5.78120477635866","6.12141773755627","6.45263380552322","6.71832543267474","6.88612684116458","6.959728596466","6.93766613717327","6.8603084633063","6.78955101871108","6.76031517015308","6.74688344711253","6.77420056268715","6.82148289939991","6.85806775086901","6.86909028079121","6.8561375559432","6.83808494553277","6.81732866099371","6.79878231494697",
"Mongolia","MNG","Population ages 15-19, female (% of female population)","SP.POP.1519.FE.5Y","8.15332316175486","7.96632137326744","7.74071522807673","7.5381875794296","7.44295475409115","7.49423684435211","7.62016655724109","7.89867823657416","8.25506148862032","8.58172024591256","8.82280427634113","9.0080491538587","9.10287573171848","9.17222542015147","9.31318929855005","9.57047283970361","9.87996270635664","10.2968729483774","10.7432263745562","11.1031492015256","11.3166701307072","11.4071730197935","11.3704426432946","11.2622866179369","11.1634402500266","11.1165768920702","11.0782414158161","11.0833794449136","11.1081931036568","11.1165008700977","11.0913682862716","11.0069832016541","10.9247791977106","10.8489679697885","10.7925247663989","10.768290095743","10.7925452855485","10.7853916405981","10.7759943005352","10.8332515441381","11.007443747535","11.30456006854","11.7333635919849","12.1813202693953","12.4705420580431","12.4980602736964","12.280310419735","11.8207293215971","11.2023427210735","10.5544125584976","9.95658459657666","9.37646040891807","8.84818880251168","8.36994295906547","7.93109830168553","7.53054357875911","7.17469537544822","6.87372837927658","6.64656705676843","6.521757742317",
"Mongolia","MNG","Female headed households (% of households with a female head)","SP.HOU.FEMA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mongolia","MNG","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","269.436","262.803","256.171","249.861","243.551","237.241","230.931","224.621","219.836","215.051","210.266","205.481","200.696","199.775","198.854","197.933","197.012","196.091","195.152","194.213","193.274","192.335","191.396","187.289","183.182","179.074","174.967","170.86","178.79","186.721","194.651","202.581","210.512","213.891","217.269","220.648","224.027","227.406","220.707","214.009","207.311","200.613","193.915","187.379","180.842","174.306","167.769","161.233","156.249","151.265","146.281","141.297","136.314","134.04","131.767","129.494","127.22","124.947","123.173","",
"Mongolia","MNG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5","","","","","","","6.19999980926514","6.80000019073486","","","","7.19999980926514","5.56479978561401","5.85989999771118","6.54939985275269","4.76929998397827","3.90490007400513","4.23120021820068","4.79809999465942","4.86070013046265","7.23509979248047","6.35939979553223","5.37659978866577","10.0271997451782",
