"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Nicaragua","NIC","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19000","","61000","10000","","160","35000","1100","18000","20000","6900","580",
"Nicaragua","NIC","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","6.85805422647528","5.41727672035139","5.08849557522124","5.15947467166979","6.05095541401274","8.65771812080537","11.9549929676512","12.467018469657","16.439205955335","20.8778748574776","26.9322377370014","26.5813112178648","23.7637258006968","22.5011155734047","25.7319726495187","25.4118788499111","23.6682700379901","23.7221245053081","23.1856215120014","16.6293062973697","18.4115009092248","19.498142513742","18.3212045576103","14.3091353464118","14.4592927472061","11.8294565739837","17.5954033421676","17.2289163593619","14.3312404655311","27.9719976677855","22.3244670714111","25.1821669144504","31.3282927200936","26.5480163144234","29.6473401075912","22.1673819742489","26.2006861063465","25.9753771458297","24.9302163293789","31.0895084372707","29.8066147021167","35.4403000114887","40.3331208257252","42.9930040958635","39.6889341555883","40.5273085030596","41.0684212528358","42.6230535845068","42.3772545490991","46.4848560640877","40.9246443309016","38.1056595241763","39.8441164678213","40.5851554086085","34.1844500218585","32.8988391356035","34.1061029087193","29.775789254396","22.5944403620501","",
"Nicaragua","NIC","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nicaragua","NIC","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","0.281293952180028","0.672043010752688","0.918367346938776","0.903342366757001","0.583515681983953","0.686641697877653","0.605060506050605","0.442043222003929","0.0545553737043099","0.42682375288318","0.145310103828846","0.0777984924170189","0.132753490501259","0.280851610613621","0.399523925933724","1.0842221775005","0.328867624203905","0.752086906653823","0.926776560543053","0.693888888888889","0.474553284906597","0.295406860841945","1.14520810292161","0.982323144624758","2.10538296586805","4.95091930776018","3.60839717029977","3.43308106467238","4.54359201046993","1.71891533190599","1.99481946883807","3.58036522387265","2.83223010694187","2.12370586673746","2.26197345643393","2.14315012305168","1.48218774378088","0.510415229686853","0.489374539116444","0.413600472686255","","","","8.18066521602662","9.07383154746185","9.55635742486598","10.8285336304825","11.0873615830949","12.9507248608444","12.1168733871625","13.0980619461843","13.6528127756775","14.9259240636483","16.5741990934356","21.9154634058059","22.6539687726797","20.960272931287","18.1303660589195","17.699619808451","",
"Nicaragua","NIC","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.63","13.88","10.5","7.86","12.11","4.88","6.48","6.29","6.61","7.47","10.45","9.37","7.73","9.17","5.81","5.47","6.58","6.29","5.14","4.95","5.12","4.88","5.22","4.51","",
"Nicaragua","NIC","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.55","8.53","6.07","4.46","8.61","2.79","3.98","4.08","4.35","5.02","6.33","5.35","5.13","5.2","4.14","4.02","4.18","4.11","3.79","3.74","3.65","3.43","3.31","3.21","",
"Nicaragua","NIC","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.9","","","","","17.9","","","14.6","","","","","","10.7","","","","","5.8","","","","","","","",
"Nicaragua","NIC","Population, female","SP.POP.TOTL.FE.IN","888187","916167","944640","973724","1003585","1034345","1066060","1098733","1132407","1167118","1202914","1239777","1277724","1316925","1357573","1399795","1443602","1488841","1535267","1582535","1630348","1678678","1727439","1776252","1824652","1872324","1918949","1964648","2010032","2056015","2103181","2151784","2201437","2251359","2300463","2347951","2393608","2437649","2480215","2521581","2561993","2601422","2639910","2677901","2715978","2754552","2793840","2833763","2874139","2914627","2954982","2995160","3035241","3075325","3115566","3156057","3196842","3237850","3278837","3319518",
"Nicaragua","NIC","Population ages 65 and above, total","SP.POP.65UP.TO","44774","46152","47415","48602","49793","51009","52788","54565","56372","58207","60049","62434","64827","67255","69752","72339","75362","78500","81723","84984","88258","92081","95846","99658","103647","107894","112652","117615","122768","128042","133414","139159","144867","150549","156241","161927","168016","174083","180153","186198","192225","199040","205689","212340","219227","226490","233916","241837","249827","257203","263671","269234","273962","278970","285866","295622","307876","322581","339278","357253",
"Nicaragua","NIC","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","4.20856371785735","4.24640129933069","4.29380050198964","4.34136056615458","4.38010607991566","4.40346731841631","4.40435698620525","4.39304801153325","4.37024850605833","4.33502610269201","4.28806927149708","4.22317203308009","4.14806918848862","4.06887256297815","3.99447838570862","3.92971547282604","3.86596009975062","3.81230450344799","3.76677641970605","3.72763158809326","3.69368993613633","3.66740752698997","3.65812571420632","3.6477932185298","3.6111523670528","3.53902233853631","3.4410466968672","3.30710472964891","3.1851265901504","3.14268135203294","3.21308379398454","3.39248577343926","3.66673964926562","3.98528354886251","4.27657017168268","4.49979577938381","4.66372048175053","4.77595812683297","4.84817426897378","4.89993979969717","4.9446193730906","4.98715510703181","5.01562933253734","5.03547743958977","5.05372840324377","5.07595969291569","5.1073487823377","5.14350322838594","5.18871551534876","5.24889411462781","5.32785692482313","5.43240122891681","5.55705095111001","5.69402493196663","5.83290296758182","5.96748344610073","6.10027402059534","6.22692137113462","6.35043404188871","6.47702272528038",
