"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Nauru","NRU","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nauru","NRU","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.685418719952281","0.243094918912084","0.0186486866195534","0.224590801403735","0.0771263234955986","0.565822650795795","0.346956979398984","0.0846392330616387","0.00286556384198259","0.0289243339508395","0.0951401984324012","0.246659598671611","0.143084610912144","0.161015980345224","0.268728196100809","0.487713526850486","0.696648166744353","0.684009278219144","0.19295696380432","",
"Nauru","NRU","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","98.17258883","96.50031027","91.96125522","101.5961108","81.32403298","79.08780843","102.3751876","201.1850701","169.3575336","155.030761","179.6041015","173.1448131","144.6897393","129.9901841","142.1486193","144.2589912","140.7272268","138.5704877","",
"Nauru","NRU","Merchandise imports from high-income economies (% of total merchandise imports)","TM.VAL.MRCH.HI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.2141244946056","86.4572236049544","9.46795889113625","83.5554815791272","89.8700926120603","96.1340063073719","96.5131703769939","98.2330933000798","97.6976554737988","26.2525706832405","90.0332104498923","77.0404714888241","77.3545148334738","89.4526330678876","72.3370943409038","65.2490196968246","84.9571021211247","78.9463141186844","81.3729089444844","",
"Nauru","NRU","Share of tariff lines with international peaks, primary products (%)","TM.TAX.TCOM.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.75862","16.88312","14.47154","",
"Nauru","NRU","Share of tariff lines with international peaks, manufactured products (%)","TM.TAX.MANF.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.75974","2.152318","2.318624","",
"Nauru","NRU","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"Nauru","NRU","Population, total","SP.POP.TOTL","4375","4632","4944","5275","5592","5856","6067","6223","6337","6441","6552","6678","6803","6928","7058","7175","7286","7399","7503","7616","7741","7875","8018","8171","8328","8501","8683","8865","9062","9278","9505","9764","10030","10287","10498","10628","10672","10647","10565","10449","10337","10215","10102","9994","9902","9849","9828","9842","9891","9939","10005","10057","10279","10821","11853","12475","13049","12876","12704","12581",
"Nauru","NRU","Population ages 65 and above, male (% of male population)","SP.POP.65UP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nauru","NRU","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
