"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Peru","PER","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1827","1099","1138","1036","672","253","266","80","93","25","75","","","","","","","","32","40","50","28","","","","","","","","","",
"Peru","PER","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","0.0489236790606654","0.272937224438379","0.114111829593001","0.0558243394119836","0.149880095923261","0.134811264230078","0.130633572828217","0.180878552971576","0.590551181102362","0.224318949169789","0.0982974499923653","2.69620182357219","4.80883099306378","4.10274943175874","4.95834620973522","4.72861872977498","3.92979579669101","2.34026831690027","1.85879436391693","0.286521256448769","2.35564911276766","2.31941377047968","0.506386361144611","0.960669209310266","0.0119880378821997","2.22206565209222","3.15791575164704","2.80462805856475","5.23544047694316","0.572640156365881","1.47954270400447","5.56740222840272","8.32327888048307","5.57884665062828","9.32105215160686","9.42751011370561","10.231959352874","10.1265135788398","5.47757677916289","5.67502804255025","9.24190451109198","8.66153274709958","9.04372364987966","8.6607808337711","10.859173081151","11.6794206275398","10.7008585274429","11.5701034941289","13.1858217235191","16.0731611562491","16.5072275188875","16.3896533894075","18.2109371917173","18.6639001896606","19.4686746758389","23.051999552713","24.1970441546095","28.0398469040969","28.9578294723194","",
"Peru","PER","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","7.42892716331189","7.83764870538838","8.70748299319728","12.9907901114881","17.2380019588639","19.9416342412451","21.4125560538117","22.4348685022842","17.86133960047","18.4112715014262","18.9561907619039","20.5915908395247","23.8696204830216","27.4163568773234","22.5862068965517","19.0440627333831","20.5425671216015","18.2028503491154","16.5739214939002","17.5089129444215","19.3380913739778","19.5134193223469","20.9276421770728","19.4809990965091","23.9379226051324","25.9376384136263","25.6577643318548","24.6245159910729","24.8887028444009","24.366826092657","22.9213940470405","20.1096810367637","23.281618733196","21.6214016008324","21.3225850722609","19.427674989087","20.3673896721138","20.2066989306086","22.8695174890448","24.9367256835664","25.5779390572378","27.4526594951368","",
"Peru","PER","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","379000000","469000000","537000000","557000000","579000000","730000000","829000000","825000000","646000000","613000000","623000000","763000000","796000000","1019000000","1531000000","2550000000","2037000000","1911000000","1175000000","1820000000","2573000000","3160000000","2940000000","2234000000","1881000000","1767000000","2391000000","3003000000","3109000000","2009000000","2634000000","2813000000","3964000000","4231000000","5626000000","7584000000","7947000000","8558000000","8220000000","6823000000","7415000000","7316000000","7493000000","8414000000","10101000000","12502000000","15312000000","20368000000","29953000000","21814000000","30030000000","37747000000","42545000000","43670000000","42346000000","37924000000","36254000000","39885000000","43262000000","42260000000",
"Peru","PER","Bound rate, simple mean, primary products (%)","TM.TAX.TCOM.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.54","","30.53","30.49","30.49","30.49","30.49","30.48","30.48","30.48","30.48","30.48","30.48","30.49","30.49","30.49","30.49","","30.48","30.48","30.48","","30.48","30.48","",
"Peru","PER","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.05","","29.05","28.97","28.97","28.97","28.97","28.99","28.99","28.99","28.99","28.99","28.99","29.17","29.17","29.17","29.17","","29.16","29.16","29.16","","29.17","29.17","",
"Peru","PER","Urban population","SP.URB.TOTL","4753664","4951489","5214996","5490441","5777289","6074465","6382219","6700806","7030880","7372454","7726729","8093721","8468751","8796985","9134424","9480202","9834645","10197056","10567468","10945723","11331194","11723239","12089571","12460705","12837778","13220933","13610395","14005309","14404448","14805506","15207438","15608008","16007183","16406525","16820251","17240497","17668537","18100961","18529226","18940925","19326872","19683539","20014065","20323604","20619818","20909083","21194852","21477303","21722213","21951808","22185851","22421443","22662393","22922695","23221633","23571246","23979736","24438508","24921870","25390339",
"Peru","PER","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Peru","PER","Population ages 65 and above, male","SP.POP.65UP.MA.IN","159845","165800","171520","176923","181933","186516","192165","197385","202386","207370","212479","219827","227132","234343","241437","248414","256844","265191","273311","280965","288051","297543","306380","314878","323476","332437","344764","357328","370066","382912","395890","410627","425612","441021","457170","474265","493292","513050","533184","553136","572576","598045","622907","647335","671583","695935","721345","746962","773035","799633","826782","859300","894470","933619","978382","1030126","1081904","1141084","1207306","1279423",
"Peru","PER","Population ages 35-39, female (% of female population)","SP.POP.3539.FE.5Y","5.13687781084039","5.12883605749985","5.11156251732359","5.09290432864406","5.08500858588039","5.09301493612881","5.0980881794754","5.11911377428898","5.14713649092334","5.16939591709382","5.17890908127133","5.17251866035305","5.15935200780135","5.14065993245692","5.11892624623276","5.09593557137573","5.06451780455838","5.03627948931754","5.01458237859542","5.00360804803374","5.00602589115829","5.01834737549376","5.04145574680114","5.07906323735489","5.13636465129203","5.21459855016681","5.30801691174926","5.4214335305191","5.54345760047765","5.65871187516955","5.75864582501355","5.84477657032837","5.91820625284854","5.98449500856229","6.05306200458781","6.12910575469951","6.21580343286319","6.30887808416919","6.40281889311049","6.48929399679063","6.5634675855884","6.62097055400125","6.67257837558101","6.72262173301304","6.77367493743666","6.82368564201136","6.87765504497403","6.92142485332187","6.9555886650432","6.98118490820775","6.998188305843","7.01525422181864","7.03255049374723","7.0433928692184","7.04124016316323","7.02317098089934","7.06828833602274","7.12555659626744","7.19836787396482","7.29209072533613",
