"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Puerto Rico","PRI","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Merchandise imports from high-income economies (% of total merchandise imports)","TM.VAL.MRCH.HI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Share of tariff lines with international peaks, primary products (%)","TM.TAX.TCOM.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Share of tariff lines with international peaks, manufactured products (%)","TM.TAX.MANF.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","44.547","45.933","47.327","48.724","50.126","51.524","52.921","54.314","55.702","57.077","58.328","59.23","60.127","61.014","61.896","62.77","63.637","64.492","65.34","66.178","67.835","71.772","75.406","78.711","81.684","84.317","86.637","88.66","90.413","91.915","92.942","93.106","93.267","93.424","93.578","93.729","93.876","94.02","94.161","94.298","94.387","94.333","94.278","94.224","94.168","94.112","94.056","93.999","93.942","93.884","93.825","93.773","93.726","93.686","93.651","93.624","93.602","93.587","93.578","93.576",
"Puerto Rico","PRI","Population, total","SP.POP.TOTL","2358000","2399722","2450322","2504530","2554066","2594000","2624995","2645674","2662064","2684150","2718000","2762190","2817256","2878786","2939299","2994000","3043854","3088690","3129421","3168088","3206000","3242552","3277453","3311138","3344190","3377000","3409554","3441850","3473898","3505650","3537000","3562110","3585176","3615497","3649237","3683103","3724655","3759430","3781101","3800081","3810605","3818774","3823701","3826095","3826878","3821362","3805214","3782995","3760866","3740410","3721525","3678732","3634488","3593077","3534874","3473232","3406672","3325286","3193354","3193694",
"Puerto Rico","PRI","Population ages 65 and above, male (% of male population)","SP.POP.65UP.MA.ZS","5.32314019886502","5.41830512958179","5.50233849814075","5.58536431500368","5.67797185261935","5.7832168802207","5.84233354548263","5.95035365211436","6.10965701575257","6.30960999963879","6.53485725825556","6.50341736299495","6.44888495572546","6.37008025749061","6.27246545718624","6.16260762217827","6.43970877398097","6.73660802977968","7.06316616979038","7.42117421376851","7.80609184835682","7.92353745320074","8.04972926861363","8.19937205349781","8.36692583447703","8.53900359971383","8.69090165681668","8.84180799707688","9.01095436798574","9.19605226036673","9.37801183037858","9.46594480429067","9.53909127729914","9.60447630456295","9.67845998639232","9.77507905740766","9.85109547720123","9.94813226244398","10.0692467843596","10.2111269631046","10.3700314081856","10.4991336552941","10.6139528590895","10.7160664551293","10.8146965679418","10.9214689752204","11.0889047076744","11.2408920685992","11.3814908508647","11.521470879293","11.6781200811104","12.1278607419265","12.620680755835","13.1384367602919","13.6532451596134","14.1535602589774","14.857689547955","15.5746588207827","16.3349306661611","17.1759942412386",
"Puerto Rico","PRI","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.21735905634038","5.18936265931777","5.12749414840584","5.07000315424246","5.05646524114622","5.10481596110741","4.9997862373991","4.96471470091604","4.98338686147582","5.02015726910229","5.04044770149092","5.02330124779371","4.99750230687089","4.97288417312166","4.97106119682047","5.00748331559137","5.16766753467609","5.35574245312941","5.56341380762724","5.77792337620231","5.98400918097477","6.09700366514904","6.17596859477025","6.20284555475761","6.18763411379506","6.17057907593317","6.28003455493074","6.36520995965232","6.39849368973974","6.38083680477146","6.34123605214895","6.35710247239069","6.40961460111807","6.48907912367839","6.5730943387373","6.64018233814465","6.64746559744273","6.66560365431527","6.69480649117303","6.72925647332348","6.76418570919048","6.75340511753079","6.74688151785932","6.75413404895481","6.77513866280218","6.79650845608292","6.7800823714981","6.75184406610452","6.72795924247735","6.73029652564294","6.76693784908483","6.78767262744768","6.82694386978587","6.86812222084006","6.884683040059","6.86056381302342","6.83791756358128","6.75984538161134","6.62936942945744","6.45461167873353",
