"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Korea, Dem. People’s Rep.","PRK","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","37.5193623781348","41.6483378714248","39.521453376719","40.3176105763834","38.1346915767951","41.3472845947746","31.9501234849463","28.3246974718729","23.8357947739018","23.8068726739357","19.4959630733073","21.4125711863705","35.046268175144","27.0631041232034","13.9029614389239","11.0255897148064","16.7997204515799","7.86276960986403","7.47557351447318","5.18110644510878","17.6506713369337","31.752452229763","46.7492601140953","51.4823682716476","48.0603708524856","33.9713669696342","22.4520528604355","37.6390952950384","54.9144531175526","53.5064321165751","63.7617905791754","77.0097283425269","80.4141981362647","83.50899097708","77.8322538400063","86.9671737897168","86.5366676640895","32.6274844939565","",
"Korea, Dem. People’s Rep.","PRK","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)","TM.VAL.MRCH.R6.ZS","","","","","","","","","","","","","","","","","","","","","","0.0266713596600058","0.0179674614440749","0.0317449811081653","0.221379943394896","0.148371317138196","0.27404266635199","0.255853701286752","0.765825743213578","0.204955731954391","0.248782916332987","0.1872370085527","0.225944319413329","0.325858860752817","0.18247481203676","0.166849295535495","0.361126488566294","0.144803891076791","1.12946185720979","0.656764957892092","12.5376975028379","7.23143124763312","14.0519514249854","7.54377748001459","3.47190066115064","7.87734892532531","8.25672568806394","11.246760023315","3.5884814315814","3.55627291581405","6.42652206577432","1.56822007266827","0.531337045544374","0.269893643094066","0.531931977597307","0.601509445258268","0.4096595909347","0.395792385695471","0.896449399424433","",
"Korea, Dem. People’s Rep.","PRK","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Bound rate, simple mean, all products (%)","TM.TAX.MRCH.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Completeness of birth registration, rural (%)","SP.REG.BRTH.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.5","","","","","","","","","100","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Population ages 80 and above, female (% of female population)","SP.POP.80UP.FE.5Y","0.302440369125338","0.33759992181594","0.373755099250211","0.402682193907869","0.414704896842614","0.406573559373906","0.442046651310014","0.459273111732383","0.461959092779432","0.457978392086942","0.450698114794547","0.481454009076903","0.508867482416017","0.52889469220725","0.536994891988118","0.533209374190606","0.570084052605473","0.59726178758359","0.614367156450618","0.622790409815254","0.623645476262498","0.667470723447898","0.698512187143382","0.717151479768039","0.726181188383846","0.728304475480009","0.76709343425992","0.800312036459081","0.823726815414191","0.832541394785043","0.826754718890744","0.870152876054267","0.90186371396795","0.924910229813511","0.944437132499434","0.964407614836005","1.00661717712646","1.03753116005348","1.0563111086522","1.06328730172586","1.0604483740166","1.1258658608498","1.17817976219949","1.21605032481536","1.24073857786401","1.25534757205495","1.33490462181426","1.40141850986644","1.45284500032729","1.48826169484537","1.50992231935997","1.62508196946111","1.72352845139873","1.8098386004574","1.89365403007321","1.9813930242645","2.1490787839608","2.30746059505841","2.44949586641253","2.57044018193304",
"Korea, Dem. People’s Rep.","PRK","Population ages 55-59, female (% of female population)","SP.POP.5559.FE.5Y","2.9290092632839","2.86373074022867","2.85256241497975","2.8687524905323","2.87096591834598","2.83923047058644","2.81473712809172","2.74190648839901","2.65635842665049","2.60264055889493","2.59597638731501","2.57279472949691","2.59751613052307","2.65655192331461","2.72865060367141","2.8036189357314","2.88340636046985","2.97321695405056","3.07035703868393","3.17029757487786","3.26734754261827","3.35959757026921","3.43628407326232","3.50983451470776","3.59499622599597","3.69792199054853","3.76585460774387","3.85670037014407","3.97212786555433","4.11238186282218","4.2757256027713","4.46423013912377","4.66851970209383","4.87052650202917","5.04770682539533","5.18486011421772","5.243792083215","5.26950568453912","5.27397100750601","5.27054995964541","5.26378671386692","5.23834952643918","5.23205455895833","5.20631084067126","5.09924023765013","4.88204709190251","4.53491404629533","4.0638801371446","3.60383434573927","3.35722474586028","3.43367354822943","3.7950126581536","4.47536436261879","5.29285876337387","5.9697815566579","6.34668631817257","6.43164689888972","6.23762655126991","5.91937754045073","5.7178704890785",
"Korea, Dem. People’s Rep.","PRK","Population ages 15-64, total","SP.POP.1564.TO","6746977","6815826","6998353","7235328","7429388","7535736","7729837","7777282","7759600","7802618","7959441","8081555","8342543","8684796","9012991","9280550","9542918","9761772","9960747","10182593","10448180","10798940","11136297","11477645","11841783","12231507","12526965","12888727","13275471","13624752","13907751","14190076","14394330","14544802","14690899","14856521","14990012","15148043","15321432","15485871","15630051","15764174","15881270","15988721","16100802","16223628","16325944","16446506","16579811","16713540","16841582","16967453","17075389","17181041","17308745","17467809","17621731","17810004","18003262","18158457",
