"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Portugal","PRT","Households and NPISHs final consumption expenditure: linked series (current LCU)","NE.CON.PRVT.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35757222400","41669351900","47653656700","51490013600","54938675800","57619101000","61353083000","65362561000","70172596000","75701533000","81416193000","85280473000","89388809000","92290730000","96864302000","102159325000","107380666000","113802726000","118575067000","113594117000","118409344000","116024011000","111844807000","111538104000","114449559000","117810348000","122024350000","126541031000.001","131899457000.001","136190533000",
"Portugal","PRT","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","31000000","151000000","29000000","41000000","45000000","63000000","236000000","298000000","388000000","359000000","371000000","177000000","17000000","17000000","117000000","326000000","64000000","94000000","128000000","5000000","36000000","50000000","190000000","4000000","109000000","155000000","5000000","9000000","90000000","136000000","73000000","1018000000","19000000","361000000","453000000","20000000","7000000","0","16000000","3000000","2000000","19000000","","29000000","70000000","158000000","220000000","60000000","144000000","370000000","894000000","170000000","40000000","13000000","3000000","1000000","21000000","12000000","26000000","44000000",
"Portugal","PRT","Fixed telephone subscriptions","IT.MLT.MAIN","95697","","","","","409000","","","","","542000","","","","","778000","820602","864257","904284","939599","989470","1057305","1149305","1248906","1324736","1400418","1510599","1656306","1849247","2189000","2379265","2694140","3014173","3260319","3474400","3642891","3821890","4002478","4116900","4229848","4321000","4385454","4350528","4281119","4238270","4233701","4241779","4203800","4160159","4328295","4486211","4542561","4558075","4529794","4588563","4682997","4787677","4831284","5073458","",
"Portugal","PRT","Methodology assessment of statistical capacity (scale 0 - 100)","IQ.SCI.MTHD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","CPIA financial sector rating (1=low to 6=high)","IQ.CPA.FINS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Public private partnerships investment in water and sanitation (current US$)","IE.PPN.WATR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Firms expected to give gifts in meetings with tax officials (% of firms)","IC.TAX.GIFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.1","","","","","","","","","","","","","","0.1",
"Portugal","PRT","Time to import, documentary compliance (hours)","IC.IMP.TMDC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","",
"Portugal","PRT","Informal payments to public officials (% of firms)","IC.FRM.CORR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5","","","","","","","","","","","","","","2.8",
"Portugal","PRT","Depth of credit information index (0=low to 8=high)","IC.CRD.INFO.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","7","7","7","7",
