"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Qatar","QAT","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","",
"Qatar","QAT","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","","","","10.4057410985371","9.82795457101091","","","10.0464371062351","","9.57290767903365","9.36401308493815","10.2745490868762","5.47383695577547","5.47383695476618","5.47383695502097","5.47383695552597","5.47383695563599","4.82546618000327","5.36658021815133","8.76866954073741","6.85301547908538","4.6691230231799","5.81793495838261","4.4571798683284","2.93403126509598","3.13205296068678","6.18721328537162","6.98983079175743","8.12755709608647","5.97166264361238","6.60800099828105","6.39676749337974","8.07101428008533","6.16568398691691","6.38853997446111","5.50160365499221","5.60715518113002","5.09411601335145","6.15475120214445","4.6648065211676","7.61714750559181","8.31083630049568","8.48587133880594","9.96208614535474","11.5143134577648","12.37457086217","12.6710583721957","14.2130368265829","16.061575410112","17.5515071774605","",
"Qatar","QAT","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6244758914483","25.5276881052893","26.6296595269426","28.9326717082014","28.7797561447649","30.5724714688352","32.4362305039616","30.1670584659939","28.190955184154",
"Qatar","QAT","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","32000000","40000000","37000000","40000000","50000000","70000000","70000000","90000000","43000000","53000000","64000000","109000000","141000000","195000000","271000000","413000000","817000000","1225000000","1185000000","1424000000","1423000000","1518000000","1947000000","1456000000","1162000000","1139000000","1099000000","1161000000","1267000000","1326000000","1695000000","1720000000","2015000000","1891000000","1927000000","3398000000","2868000000","3322000000","3409000000","2500000000","3252000000","3758000000","4052000000","4897000000","6005000000","10061000000","16440000000","23429000000","27900000000","24922000000","23240000000","22328000000","30787000000","27034000000","30448000000","32610000000","32060000000","29896000000","31696000000","31349000000",
"Qatar","QAT","Bound rate, simple mean, primary products (%)","TM.TAX.TCOM.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","21.77","21.77","21.77","21.77","21.85","21.85","21.85","21.85","21.85","21.26","21.26","21.26","21.26","21.26","21.35","21.35","",
"Qatar","QAT","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8","13.69","13.69","13.68","13.69","13.83","13.83","13.83","13.83","13.83","13.83","13.83","13.83","13.83","13.83","13.86","13.86","",
"Qatar","QAT","Urban population","SP.URB.TOTL","40407","44064","48442","53384","58634","64100","69724","75590","81884","88881","96760","105801","115725","126197","136465","146095","154586","162372","171096","183033","199844","221984","248569","277791","306995","334172","359557","384391","406657","425895","441919","454656","464497","472408","479732","487760","498265","512083","528882","548268","570612","593523","619668","660434","731412","842881","998892","1193054","1409929","1627412","1828501","2007410","2167459","2308185","2431360","2538642","2628228","2699602","2757615","2809071",
"Qatar","QAT","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","179.62518","","","390.4962","","","397.09787","",
"Qatar","QAT","Population ages 65 and above, male","SP.POP.65UP.MA.IN","657","673","705","749","798","849","887","919","964","1015","1086","1188","1328","1487","1662","1828","1856","1839","1807","1807","1858","1974","2139","2333","2514","2663","2888","3116","3336","3556","3784","4050","4265","4411","4502","4538","4840","5220","5670","6150","6645","6409","6172","6077","6280","6834","6875","7102","7235","7169","6944","8436","10221","12151","14155","16264","19332","22713","26435","30507",
"Qatar","QAT","Population ages 35-39, female (% of female population)","SP.POP.3539.FE.5Y","5.01915523010523","4.97265268915223","4.94290097153571","4.93262848284908","4.93694362017804","4.95767416042187","4.85878644089831","4.82489560791246","4.86925673742633","4.97568576878644","5.11836858311039","5.16762758915225","5.19613746348208","5.21218966346657","5.22235025291487","5.22360969943372","5.25625945219291","5.37327331988204","5.5722460658083","5.8185884364928","6.08674640570255","6.05633958959237","6.16285583337577","6.44594886432992","6.91051247670956","7.53681403120757","7.94835555216013","8.43155228038773","8.89419612525993","9.2154928651279","9.33650011430894","9.00475104875231","8.78837888322664","8.84779279974361","9.26707307122959","10.0117644371345","10.2480297613404","10.4905578467549","10.6779126596248","10.7220796054664","10.5897134873432","9.9086888946453","9.34470759117617","9.00532690853339","8.98952205457167","9.32562579248052","9.37994067918414","9.5484914404051","9.7487565847892","9.96277693066643","10.245057660626","10.3042817099843","10.3974263622184","10.5344047376539","10.749572852762","11.0781658459234","11.1497383308988","11.342149877224","11.6213983072613","11.9095268771026",
