"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Chad","TCD","Households and NPISHs final consumption expenditure: linked series (current LCU)","NE.CON.PRVT.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","481329990130.473","511384838064.495","482852281936.744","399422395153.022","641594812804.355","684298363656.593","710337114176.251","811367466192.521","967599969310.465","917764525406.541","891512567202.063","1138682953347.15","1920649388903.79","1224094838057.63","1714039389566.93","2279905750200","2871053377999.99","2790907183800.01","3094521904500.01","3015238069000","3456644359500.01","3898919791100.01","4146122837300.01","4372285400000","4702588836000","4746746440899.99","4510477136800.01","4654940000000.01","4828927000000.01","5044102700000.02",
"Chad","TCD","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","1000000","1000000","","","","0","","","","","","4000000","","3000000","9000000","10000000","8000000","3000000","","","10000000","","","33000000","9000000","1000000","22000000","21000000","9000000","57000000","","","","","3000000","1000000","","","7000000","7000000","","16000000","","","","","17000000","20000000","75000000","35000000","38000000","1000000","4000000","59000000","58000000","1000000","2000000","6000000","3000000","1000000",
"Chad","TCD","Fixed telephone subscriptions","IT.MLT.MAIN","","","","","","1500","","","","","1900","","","","","2400","2400","2400","","","","550","670","1160","1590","2101","2289","2423","3319","3639","4026","4121","4200","4571","4733","5334","6004","7471","8631","9700","10261","10689","11835","12450","13000","13000","20000","32000","45000","58267","51227","31839","27937","31323","23580","17029","13332","8664","9036","",
"Chad","TCD","Methodology assessment of statistical capacity (scale 0 - 100)","IQ.SCI.MTHD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","60","60","40","30","40","30","30","30","30","50","50","30","20","20","10",
"Chad","TCD","CPIA financial sector rating (1=low to 6=high)","IQ.CPA.FINS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","3","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Chad","TCD","Public private partnerships investment in water and sanitation (current US$)","IE.PPN.WATR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Firms expected to give gifts in meetings with tax officials (% of firms)","IC.TAX.GIFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2","","","","","","","","","21","",
"Chad","TCD","Time to import, documentary compliance (hours)","IC.IMP.TMDC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172","172","172","172","172","",
"Chad","TCD","Informal payments to public officials (% of firms)","IC.FRM.CORR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.8","","","","","","","","","38","",
"Chad","TCD","Depth of credit information index (0=low to 8=high)","IC.CRD.INFO.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0",
"Chad","TCD","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)","FX.OWN.TOTL.SO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.6443824768066","","","25.9746379852295","","","45.8362770080566","","",
"Chad","TCD","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","12240000","7690000","10300000","11260000","14893000","13623000","7373000","983000","-2246152.08320851","-4810495.80882963","2308557.60920868","11224223.1798028","10074968.8972227","1470530.61296784","15267029.2365702","3058688.1089688","23274483.268861","19707116.1180086","13711275.9367726","17103550.9818403","11772888.8034879","11846216.0418528","17613994.6341586","32348568.4065928","47584282.5457782","37090013.6435259","20248623.259573","57481196.736045","67636520.2003837","116184031.941454","132064062.902088","123724750.817937","84189961.925617","43281878.4978926","80278305.578426","146818545.097414","168587618.719332","139051268.152913","123289615.942238","98247717.7012829","113752750.287429","125450913.473423","222510578.661823","191745202.611172","226603535.300677","231282856.164012","632157876.917181","964338636.974652","1355146208.38943","616701392.110048","632405291.277491","951097160.643999","1155659286.59738","1183031943.77765","1075906114.58729","368916823.816674","8184292.08845216","8575237.41520016","147750165.909777","",
"Chad","TCD","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.438931","","","","","",
"Chad","TCD","Urban population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Chad","TCD","Agricultural methane emissions (% of total)","EN.ATM.METH.AG.ZS","","","","","","","","","","","88.9334552440978","88.5899702735781","88.7135635449226","88.1406223097276","84.3008636824663","85.0845549199134","85.4030275168087","86.9117839321464","85.6039519800154","85.6630078641133","87.0581606842588","85.3586274177608","86.4822617498947","85.7878090210192","83.8832951295765","82.9086182299999","83.1000634544386","83.6731183869062","83.4759402166359","84.5649013507824","86.4973174883865","84.295539121907","85.3005829513399","84.2023847630172","83.6731856923593","84.5064867213655","84.0054034772487","84.5900975706819","83.8342205398039","84.4723205145862","84.4763428551697","83.7788874010804","83.5751433530612","83.6439849674895","82.0110810220547","80.223601771581","84.4695590392785","82.3870258772161","82.8721502036105","","","","","","","","","","","",
"Chad","TCD","CO2 emissions from gaseous fuel consumption (% of total)","EN.ATM.CO2E.GF.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Chad","TCD","Electricity production from oil sources (% of total)","EG.ELC.PETR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","DT.TDS.DPPG.CD","","","","","","","","","","","2940088.7","6711465.6","4280120","3271181","3269074.4","6436976.7","4441385.3","3449641.1","3123049.7","2009389.6","2670948.8","610000","1204802.2","358250.3","3341427.1","12440658.7","5001408.2","5508275.5","6691111.3","5071595.7","6270412.8","8281539.2","8048213.2","10760795.7","12992630.1","6856741.3","20162368","19714630.5","17200494.1","22805089.8","22212345.4","18125431.9","18778539","26749623.7","24913171.9","40038328","40369349.7","52349641.6","122679544.6","64644368.4","61736120.2","74701759.6","79326713.7","117302475.1","588131409.2","86234185.5","139638599.8","157250375.5","173842135.1","",
"Chad","TCD","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","29999.9993294477","3259999.99046326","5519999.98092651","5559999.94277954","16549999.2370605","18270000.4577637","19010000.2288818","19829999.9237061","21719999.3133545","23750000","22350000.3814697","30409999.8474121","30790000.9155273","45279998.7792969","78480003.3569336","66730003.3569336","60880001.0681152","81599998.4741211","123150001.525879","84739997.8637695","34990001.6784668","59560001.373291","64150001.5258789","87430000.3051758","111410003.662109","179050003.051758","160309997.558594","201789993.286133","260690002.441406","250570007.324219","310579986.572266","262309997.558594","236699996.948242","223470001.220703","212289993.286133","235020004.272461","295779998.779297","227960006.713867","174440002.441406","187929992.675781","131330001.831055","188600006.103516","229250000","251990005.493164","332079986.572266","386440002.441406","290730010.986328","367980010.986328","441809997.558594","558330017.089844","490160003.662109","457660003.662109","475130004.882813","459339996.337891","391929992.675781","606409973.144531","624460021.972656","647710021.972656","875400024.414063","",
"Chad","TCD","PPG, private creditors (NFL, current US$)","DT.NFL.PRVT.CD","","","","","","","","","","","2025000","9355000","-1800000","-212000","8492000","-296000","1585000","6546000","14397000","8838000","0","5744000","2081000","2137000","-2740000","-5790000","0","2967000","766000","-597000","-561000","-448000","-334000","-1198000","-262000","-32000","-121000","0","0","-1182000","-644000","-457000","-767000","20000000","0","-1411000","-500000","-619000","0","-1000000","-2000000","-5644000","-1875000","597499000","931489000","0","0","0","0","",
"Chad","TCD","Net official flows from UN agencies, IFAD (current US$)","DT.NFL.IFAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1649999.97615814","1720000.02861023","","","","2619999.88555908","1240000.00953674","600000.023841858","740000.009536743","490000.009536743","1230000.01907349","1110000.01430511","2339999.91416931","2960000.03814697","2910000.08583069","3480000.01907349","1259999.99046326","5139999.8664856","9560000.4196167","5809999.94277954","7703632.83157349","2650527.95410156","3585630.41687012","4326179.98123169","",
