"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Tajikistan","TJK","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","6400","660","460","11000","2400","4700","5400","4800",
"Tajikistan","TJK","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.750729307646002","0.00168650864414961","0.00302003286255152","0.00383072811414475","0.0286518641659164","0.0154089148360576","0.0262577835982433","0.00545980696545172","0.00243417837621536","0.0162062036819384","0.00923125344405116","0.0211942614454922","0.00991505627608604","0.00343561273274008","0.00264220724681313","0.00697398752353973","0.00873228234465499","0.0488814796012373","0.388747497128162","",
"Tajikistan","TJK","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","66.304802106407","","",
"Tajikistan","TJK","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.08059314498771","2.09068813402415","1.49417968292238","1.69825408480985","3.44901084449538","2.28281289464407","2.24513137844909","2.47854270479112","4.09071391345319","10.2608596906857","8.55544649189931","15.7107275024729","9.29693363117509","11.8886223961334","15.0526131903596","18.6396732845372","21.7103788933727","21.5611219420852","19.6114275323508","20.9412445899923","23.1215901650684","24.2397432238699","22.9523398668433","22.4501527962673","21.9004500483711","19.0113059229755","16.7376979795009","",
"Tajikistan","TJK","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.11","","","","4.4","","4.61","5.01","4.86","9","5.2","4.65","","",
"Tajikistan","TJK","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","","","","4.64","","4.89","5.21","4.97","5.87","5.22","5.14","","",
"Tajikistan","TJK","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9","","","","","22.7","","",
"Tajikistan","TJK","Population, female","SP.POP.TOTL.FE.IN","1071957","1108219","1147173","1188241","1230550","1273454","1316818","1360740","1405075","1449679","1494478","1539434","1584599","1630166","1676403","1723562","1771746","1821066","1871859","1924507","1979323","2035913","2094202","2155192","2220194","2289813","2364854","2444108","2523708","2598443","2664662","2720974","2768680","2810182","2849179","2888537","2928941","2970041","3012410","3056483","3102612","3151364","3203162","3258004","3315714","3376233","3439625","3506202","3576391","3650719","3729558","3812812","3900293","3992087","4088266","4188687","4293444","4401951","4512544","4623068",
"Tajikistan","TJK","Population ages 65 and above, total","SP.POP.65UP.TO","99667","103264","107116","111287","115895","120958","126366","132180","138130","143745","148782","152695","155473","157391","158956","160466","164954","169589","173910","177268","179491","180824","181129","181050","181406","182626","185240","188373","192132","196821","202643","207469","212787","217750","221183","222525","226206","226997","225892","224529","223816","230644","239059","247706","254389","257937","259480","257990","254576","250941","248416","246410","245578","245794","246889","248962","256364","264873","275017","287643",
"Tajikistan","TJK","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","3.93475869879352","3.87279048635694","3.92697495048676","4.06196375657168","4.23087925054529","4.40306787922287","4.57057369486223","4.75328901437598","4.92449879970991","5.04931774645594","5.11074427944454","5.08465107698464","4.97753376246371","4.85139884269668","4.76575656005111","4.74035746900895","4.76371088681297","4.84886058557977","4.92986903365912","4.89646715267782","4.68660717488472","4.32951145703324","3.83176798046799","3.30072373995102","2.87857598093861","2.63820785287176","2.5471318338199","2.5970242685973","2.74726493931553","2.94207067157935","3.14899461845038","3.34901765064534","3.57184909187706","3.8031686904376","4.02543889820931","4.22785252731921","4.40869393022732","4.55892849927947","4.6833219747757","4.7965898071117","4.91199978340788","5.05850960362231","5.20829593535632","5.34888681877407","5.45613841961688","5.51354290818877","5.5172277451095","5.4882208658947","5.44778698508104","5.41430331942831","5.38817055850303","5.32331657666745","5.26478260356783","5.20897183507498","5.15255374897512","5.09663777373461","5.04634742940513","5.00655163890928","4.98370211603242","4.98846004927462",
"Tajikistan","TJK","Population ages 15-19, female (% of female population)","SP.POP.1519.FE.5Y","6.70697293459918","6.39584775211398","6.2978569834584","6.38438433889364","6.6100631588528","6.94199157723135","7.35881653838998","7.88386042321027","8.45668956220904","8.99722076787928","9.46008609020267","9.91349434890808","10.2163321974","10.3751206163287","10.4544448600182","10.5190297767066","10.7289463688141","10.9440234763466","11.108606168747","11.1805602465043","11.1600392255728","11.0709652828635","10.9277849377544","10.7486379416424","10.5676753618488","10.4112914073295","10.2721265057999","10.1551692746425","10.043824369678","9.93083547756694","9.82958426215727","9.76630820473675","9.74652884878632","9.77519969340075","9.85988951207014","10.0042062845006","10.1782897567038","10.3819813874561","10.6226470274826","10.9043921054388","11.2209542558739","11.5378647271038","11.8849236019817","12.2059972283652","12.4321903420529","12.5316921349007","12.4793800256191","12.2996691574924","12.0122313350789","11.6882729128153","11.3931432643913","11.0690511541223","10.8016216213444","10.5575696758567","10.2850745450881","9.9632748527401","9.58645767195644","9.1822673214065","8.80030333188626","8.51163837017393",
"Tajikistan","TJK","Female headed households (% of households with a female head)","SP.HOU.FEMA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4","","","","","","","",
"Tajikistan","TJK","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","173.372","170.357","167.342","164.413","161.485","158.556","155.627","152.698","150.749","148.8","146.851","144.902","142.953","142.047","141.141","140.234","139.328","138.422","137.162","135.902","134.643","133.383","132.123","131.444","130.764","130.085","129.405","128.726","132.638","136.551","140.463","144.376","148.288","148.295","148.303","148.31","148.317","148.324","146.041","143.757","141.474","139.19","136.906","133.624","130.342","127.06","123.777","120.495","118.198","115.901","113.604","111.308","109.011","107.621","106.232","104.843","103.453","102.064","96.277","",
