"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Virgin Islands (U.S.)","VIR","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Manufactures exports (% of merchandise exports)","TX.VAL.MANF.ZS.UN","","","","","","","","","","","32.5817028123513","28.6918338869585","26.5636735093082","19.3508102962793","","","","8.38217312572838","8.25206359527438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Fuel imports (% of merchandise imports)","TM.VAL.FUEL.ZS.UN","","","","","","","","","","","40.5536889866426","54.7689569045202","55.8325908621379","63.1766534188748","","","","4.17996785159564","58.5046134644929","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Completeness of birth registration (%)","SP.REG.BRTH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","","","1.06","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","",
"Virgin Islands (U.S.)","VIR","Population ages 60-64, female (% of female population)","SP.POP.6064.FE.5Y","2.93853611825962","2.71412680756396","2.50140098833359","2.32525694089197","2.19296370709186","2.11503226320402","2.09140492759075","2.09730039794931","2.13320529528774","2.16943836377299","2.19936366725358","2.22067605960457","2.22758190834937","2.21934763861411","2.20927177625451","2.22368450908761","2.23585192918352","2.27840658533","2.35034887991186","2.44708599645581","2.54759675405743","2.60171018827409","2.64675300122885","2.67701805256758","2.70757451869471","2.76094650434525","2.80524685059092","2.9022517148822","3.04484775761212","3.18207493880625","3.28285681997966","3.31195379018041","3.28051774157554","3.22527229908743","3.22680506236912","3.32279909706546","3.53534447176211","3.78980095057714","4.00976600787696","4.17467435404655","4.31449963541945","4.56608003985978","4.86248507209953","5.18079176790053","5.49785100286533","5.80274611863951","6.08196809754168","6.36592832703044","6.6378144441439","6.86150624593833","7.00663424863067","7.04276351522613","7.00192230967321","6.90882673447148","6.84042050125496","6.82587644253522","6.84674510946778","6.92412788049914","7.03263067757392","7.12892938496583",
"Virgin Islands (U.S.)","VIR","Population ages 20-24, female (% of female population)","SP.POP.2024.FE.5Y","5.87707223651924","6.7630700778643","7.73855010443732","8.63600427847277","9.29337836104818","9.67099498127938","9.79123565920632","9.8447639192629","9.9355236984704","9.99117848858104","9.86624656349427","9.36974546297907","8.62849245277906","7.76898493380003","7.05056246865222","6.62113407909963","6.57488364000174","6.66302681590055","6.81233933161954","6.97887422097445","7.20193508114857","7.61532267341539","7.98374137442102","8.1956786081751","8.21935627741024","8.11607093223637","8.11888903319171","8.0208022666269","7.78086095695215","7.42986254942572","7.08177948544092","7.27279546903717","7.45927248382058","7.54894024138946","7.48065191659838","7.25778781038375","7.00069989052994","6.62545116677983","6.18216812503342","5.77977080219233","5.52561845311138","5.83661049522216","6.25991479956508","6.65463770187223","6.90186246418338","6.95683388674504","6.81928534177352","6.54421033675491","6.21585068974845","5.9191999422341","5.71051537446447","5.71749284860774","5.81226651191469","5.9498728659644","6.04379615146775","6.05955804725327","6.07992422862555","6.01694143364605","5.89757137391368","5.7749430523918",
"Virgin Islands (U.S.)","VIR","Population ages 0-14, male","SP.POP.0014.MA.IN","6299","6655","6859","7930","8236","8795","9202","9546","10498","11024","11373","13057","14574","16744","18506","19736","20222","19281","19117","18244","17971","17476","17215","17218","17277","17177","17154","16778","16100","15346","15117","14726","14604","14709","14828","14778","15056","15035","14776","14442","14160","13599","13172","12881","12636","12378","12182","11973","11763","11575","11441","11361","11299","11246","11197","11128","11029","10889","10725","10555",
"Virgin Islands (U.S.)","VIR","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","International migrant stock, total","SM.POP.TOTL","12069","","","","","20342","","","","","33704","","","","","40390","","","","","48065","","","","","50029","","","","","51970","","","","","54241","","","","","56611","","","","","56647","","","","","56684","","","","","56721","","","","",
"Virgin Islands (U.S.)","VIR","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.2961302792285","47.2377692772297","47.2066096006038","47.1959572830099","47.1998899219625","47.2321550696602","47.1062357474247","47.2709456148947","47.6577976306079","47.8206364513018","48.0122147960359","48.1027315350886","48.1818523671643","48.3254928315412","48.4481509686287","48.6948811261153","48.8343354605482","49.1571896507306","49.3753903810119","49.4908649781274","49.7505568748734","50.0851410379803","50.3081534995438","50.5247376311844","50.6969988493388","51.001859511973","51.2216022699141","51.282590412111","51.3885159756051","51.4618305163143",
"Virgin Islands (U.S.)","VIR","Labor force with basic education, male (% of male working-age population with basic education)","SL.TLF.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Average working hours of children, working only, ages 7-14 (hours per week)","SL.TLF.0714.WK.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.218999996781349","0.211999997496605","0.206000000238419","0.194999992847443","0.185000002384186","0.172999992966652","0.159999996423721","0.152999997138977","0.146999999880791","0.136999994516373","0.135000005364418","0.131999999284744","0.133000001311302","0.127000004053116","0.120999999344349","0.114000000059605","0.10700000077486","0.104999996721745","0.116999998688698","0.115000002086163","0.130999997258186","0.165999993681908","0.180999994277954","0.18299999833107","0.181999996304512","0.180000007152557","0.184000000357628","0.181999996304512","0.177000001072884",
"Virgin Islands (U.S.)","VIR","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.2509994506836","53.9000015258789","53.390998840332","53.2470016479492","53.1969985961914","52.7639999389648","52.8079986572266","53.2410011291504","53.0839996337891","53.0950012207031","53.148998260498","53.1529998779297","53.2789993286133","53.492000579834","53.8110008239746","54.101001739502","54.5309982299805","54.4729995727539","53.3310012817383","53.1240005493164","53.1780014038086","53.1259994506836","52.8269996643066","52.681999206543","52.8409996032715","53.0040016174316","53.1049995422363","53.265998840332","53.0130004882813",
"Virgin Islands (U.S.)","VIR","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3170003890991","10.2239999771118","10.1199998855591","9.99600028991699","9.86800003051758","9.70400047302246","9.54800033569336","9.41199970245361","9.25399971008301","9.06400012969971","8.8439998626709","8.6230001449585","8.43000030517578","8.21599960327148","8.00699996948242","7.78999996185303","7.60400009155273","7.42999982833862","7.30100011825562","7.14900016784668","7.0479998588562","7","6.88299989700317","6.70100021362305","6.53200006484985","6.36199998855591","6.20800018310547","6.03900003433228","5.88500022888184",
"Virgin Islands (U.S.)","VIR","Multidimensional poverty intensity (average share of deprivations experienced by the poor)","SI.POV.MDIM.IT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP1.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Prevalence of stunting, height for age (% of children under 5)","SH.STA.STNT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","People practicing open defecation, rural (% of rural population)","SH.STA.ODFC.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","People using at least basic sanitation services, rural (% of rural population)","SH.STA.BASS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Children with fever receiving antimalarial drugs (% of children under age 5 with fever)","SH.MLR.TRET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Antiretroviral therapy coverage (% of people living with HIV)","SH.HIV.ARTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Mortality rate, under-5, female (per 1,000 live births)","SH.DYN.MORT.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Prevalence of anemia among women of reproductive age (% of women ages 15-49)","SH.ANM.ALLW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)","SG.DMK.ALLD.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Adolescents out of school, female (% of female lower secondary school age)","SE.SEC.UNER.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","School enrollment, secondary, private (% of total secondary)","SE.SEC.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Secondary education, duration (years)","SE.SEC.DURS","","","","","","","","","","","","","","","","","","","","","","","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","","","","","","","","","","","","","","","","","","6","6","6",
"Virgin Islands (U.S.)","VIR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
