"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"South Africa","ZAF","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3500","20000","6000","52000","2000","18000","3500","14","12000","15000","2100","1700",
"South Africa","ZAF","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","0.693699885452463","0.352531256405001","0.434148067340862","0.712137327688829","0.248149319080654","0.361161430134717","0.386829897284386","0.374048724680564","0.389276331772629","0.739058572743781","0.654388951957251","0.597530658112934","0.675791247882298","1.30848476014763","1.04179282941419","0.962062547698674","1.10605616579049","2.12010659024861","1.84522962803938","2.09561001245351","2.55847034183429","2.60553442574062","1.51452710502244","0.832944103003577","0.766920589943721","0.903283117127935","1.10541372949339","1.34541384140638","1.2132652656257","1.13699191066458","1.15018922665229","1.23229309830079","1.22231302033907","1.85944287513793","2.74068109888479","2.43894335711883","2.64467332738577","2.22558296651555","1.90154106241478","1.57419921573086","2.27657845262547","1.36805773148249","1.2602640554293","1.05970632423617","1.11905223791859","1.2317431159231","1.67146072360498","1.64004816281326","1.54895760769726","1.32259051500624","1.52035565453458","1.87756920496632","1.82758017275057","1.5908295968132","1.27448012836673","1.30652727553401","1.13009219629039","0.956095612933632","1.14801148753178","",
"South Africa","ZAF","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.0224923315231","31.0224923315231","31.0224923315231","27.5225215566899","29.0624508546264","32.1558288727553","31.1200583437537","30.7179764265523","35.5952783867476","41.008142265564","39.9824267819302","42.7899581903324","44.6683960424011","45.8978381828858","47.9962726616655","47.5698320189389","47.769573120838","49.4876860635455","51.1381695529715","46.5070691079517","45.6438845677029","43.6988576840426","44.6815595663182","43.6224491438293","46.158576835116","49.8209849919545","50.4644902238441","46.7463343986561","","",
"South Africa","ZAF","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1437242328808","14.3051711949775","15.2874503308767","17.1838234256627","17.9862797780582","19.2162791403857","22.4840783182849","24.299597010251","26.1813610142323","27.2151382138149","31.3629535305014","35.1265635214848","30.974614385742","31.4829263879319","30.2638752586285","31.3927950308577","30.8217600593085","35.135216169563","35.2039281118271","35.27651050408","34.2317590623753","",
"South Africa","ZAF","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.18","","7.19","7.26","","9.52","","","7.59","8.29","","8.24","8.4","8.01","6.97","7.38","6.71","6.96","6.79","6.73","6.08","5.41","5.75","5.67","5.6","4.5","4.24","4.38","4.64","4.38","4.45","",
"South Africa","ZAF","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.98","","12.23","11.89","","17.3","","","16.09","11.05","","9.93","9.59","9.85","8.47","8.6","9.63","9.1","8.67","8.23","7.82","7.81","7.52","7.31","7.33","6.67","6.61","6.6","6.74","7","7.09","",
"South Africa","ZAF","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.5","","","","","13.8","","","","","","","","","","","","","14.9","","","",
"South Africa","ZAF","Population, female","SP.POP.TOTL.FE.IN","8574108","8793188","9020204","9254688","9495932","9743493","9997044","10256912","10524044","10799785","11084993","11380631","11686260","11999767","12318137","12639533","12962402","13288165","13621525","13968988","14334901","14721781","15127434","15545814","15968276","16388852","16802772","17212169","17626105","18057601","18514601","19001033","19509644","20023532","20519402","20980412","21401434","21787052","22142308","22476163","22796104","23103253","23397962","23686430","23976130","24273139","24579337","24895872","25226849","25576553","25947464","26341936","26757946","27187877","27621049","28049364","28469912","28883601","29290888","29698967",
"South Africa","ZAF","Population ages 65 and above, total","SP.POP.65UP.TO","661028","679491","697184","713939","729578","744054","761726","777971","793941","810979","829881","856173","883285","910496","936854","961970","991766","1019800","1046937","1074127","1101993","1138884","1174875","1209545","1242310","1272912","1310870","1347011","1382710","1419784","1459813","1515728","1576990","1642904","1712130","1783952","1841695","1894149","1942352","1987535","2030622","2075416","2114527","2149113","2180095","2208177","2260914","2310112","2355420","2396379","2433350","2496042","2559708","2627080","2701637","2785620","2878875","2974955","3072723","3171080",
"South Africa","ZAF","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","5.06022435458577","5.01514354065898","4.93891049962484","4.85051572792421","4.77754153621604","4.73362165572894","4.69772629903084","4.68828285631025","4.69510535160198","4.70252880034186","4.70215733932991","4.68410882070831","4.66140379325644","4.63840032827318","4.62267954967541","4.61808274373471","4.60663813646281","4.60513512549437","4.6091238235716","4.6126022989062","4.61227429388774","4.61171229532957","4.61092740513692","4.60629406651925","4.59318299480476","4.5707408566054","4.52842488984259","4.47829672134871","4.43782723838616","4.43258142110105","4.47576507188921","4.58141909540291","4.7318746839384","4.904229193508","5.06665325497043","5.20207561204464","5.28666492971125","5.34495057132336","5.38767256727133","5.43201605505067","5.48812128316471","5.52095436607799","5.55319732547647","5.58187441807407","5.6047243654418","5.62401578436342","5.65845136606597","5.68625502472779","5.71014216994987","5.73607765924995","5.76782333966639","5.84003470994897","5.92018675751004","5.99645607531417","6.05522044172559","6.09150331923735","6.13092836398621","6.15824101053457","6.19158467397154","6.2580126950552",
